activity_ts,organization_id,district_id,school_id,user_id_to,user_id_from,distribution_id,distribution_id_from,activity_type_id,activity_ref_key,activity_detail_idx,activity_sub_type_id,activity_status_id,vendor_id,transaction_key,vendor_order_key,vendor_purchase_order_number,description,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,updated,updated_date,authorizenet_transid,invoiceAchDataId,distributionVendorName,created_date,submitted_date,completed_date,modified_date,prepaidStatus,original_amount,is_autoprocessed,req_transaction_token
2024-10-29 21:24:22,1,91,12304,12304,12304,12304,5051,3,f039db5d-a7ae-4e82-8286-08d90157d7e5,8,5051,11,8140,3TLQ8FS0PJBOXVAM,A9LYVSB6-JJQ7-O58U-KRZ3-UGO2FB23ACII,939IOURO7,Dici. Graece ergo praetor Athenis. Potest. Atqui pugnantibus et contrariis studiis consiliisque semper utens nihil quieti videre.,80.18,80.18,8.02,4.01,6.41,4.01,4.01,1,2024-11-02 04:54:04,7162316,YWV1168wd,"Dreyfus Strategic Municipal Bond Fund, Inc.",2024-11-02 04:54:04,2024-11-05 12:23:46,2024-11-08 19:53:28,2024-11-12 03:23:10,Pending Activation,80.18,1,83EbLAH51Ve275d0fKU1P9p38QZ1dtV4
2024-10-31 02:47:23,1,130,15440,15440,15440,15440,5371,2,f9faba87-5bd1-4ca5-b1e6-fa355ca3227c,10,5371,1,14468,N9959ZR8Z7SMYH1O,44J50N1N-L2BJ-V1GK-NW8G-XMR93JWBV56T,NNU0QTRPA,"Summum bonorum vel ultimum vel extremum -- quod Graeci telos nominant --, quod.",102.84,102.84,10.28,5.14,8.23,5.14,5.14,1,2024-10-31 03:31:54,7414658,LZB8830lo,DBV Technologies S.A.,2024-10-31 03:31:54,2024-10-31 04:16:25,2024-10-31 05:00:56,2024-10-31 05:45:27,Blocked,102.84,1,ei4GK37em00T72na3IzgHKKLX6E2CQw9
2024-11-03 01:16:43,1,492,230,230,230,230,6130,3,e5dd384b-ec62-4b16-b294-711e0f5083b2,14,6130,9,4014,HI4LEXPUSG9MLD6O,SWRL62LE-UDAD-40UL-8L50-C045CX9SENC4,A51VO9AYV,"Superstitio, qua qui est imbutus quietus esse. Dici possunt. Ut enim aeque doleamus animo. Cura et angore, cum et mortem. Contra Cyrenaicos satis acute, nihil ad Epicurum. Nam. Ex aeterno tempore intellegi convenire. Epicurus autem, in quibus nulla solida utilitas omnisque puerilis.",139.58,139.58,13.95,6.98,11.17,6.98,6.98,0,2024-11-12 01:39:14,87790339,KRE9632ge,"SunCoke Energy, Inc.",2024-11-12 01:39:14,2024-11-21 02:01:45,2024-11-30 02:24:16,2024-12-09 02:46:47,Inactive,139.58,0,u2ldZGvt8le370eC1aSOhp24bup2KMaP
2024-11-04 12:33:31,1,791,6205,6205,6205,6205,6507,1,e1572a5d-4316-435d-b133-4c640dfab2ba,9,6507,7,10187,OL1MUM6AQ9PEYNOD,WAXNLQNN-321J-5ZZA-II6U-4MADISFEU4RJ,PQBK6K,"Iucundius, id est voluptatem. Homines optimi non intellegunt totam rationem everti.",88.90,88.90,8.89,4.44,7.11,4.44,4.44,1,2024-11-05 03:49:38,6212635695,CNZ3194uv,"athenahealth, Inc.",2024-11-05 03:49:38,2024-11-05 19:05:45,2024-11-06 10:21:52,2024-11-07 01:37:59,Recharged,88.90,1,1QQ0Mgz3OJe8adDNVLd8IScxBqcmB5O6
2024-11-06 01:07:17,1,114,3244,3244,3244,3244,6905,1,d6525026-1003-4b03-b641-77dc465b5e46,12,6905,12,11002,6OC6V2GLWJKNSIRE,FWHJ4B6S-QCNV-16ZR-9Q9M-T9B13U2STTT2,7G6MI84H,"Suis cogitavisse? Sed ut iis bonis erigimur, quae expectamus, sic laetamur iis. Autem voluptates et dolores nasci fatemur e.",118.37,118.37,11.83,5.92,9.47,5.92,5.92,1,2024-11-08 03:35:07,720998,HXD3299ha,Elbit Imaging Ltd.,2024-11-08 03:35:07,2024-11-10 06:02:57,2024-11-12 08:30:47,2024-11-14 10:58:37,Active,118.37,1,AcM18ia329qdIsj5g2T3C3ny19a2N10d
2024-11-08 13:22:31,1,194,4168,4168,4168,4168,7541,2,65f83a5f-5259-4ae0-a18f-a469b1f618ac,11,7541,6,4344,L76LERUDFMOO91YV,OCGNZFU4-LR9I-JET9-S9VL-J16490VG79CM,JI5AG,"Id omnia referri oporteat, ipsum autem nusquam. Hoc Epicurus in voluptate esse aut. Amicos pertinerent, negarent esse per se esse fugiendum. Itaque aiunt. Ille vult expetenda. Haec igitur Epicuri non probo, inquam. De cetero. Atque ut odia, invidiae, despicationes adversantur voluptatibus, sic amicitiae non posse iucunde.",114.14,114.14,11.41,5.71,9.13,5.71,5.71,0,2024-11-17 03:38:22,241632,GIT8675re,Amedisys Inc,2024-11-17 03:38:22,2024-11-25 17:54:13,2024-12-04 08:10:04,2024-12-12 22:25:55,Cancelled,114.14,0,DJH4WxR3iPPIghO9zYQ09v3N45wxnR1T
2024-11-09 00:26:36,1,604,11255,11255,11255,11255,7655,3,e6fb2e7e-5d56-4695-b522-0e0ff96f3939,8,7655,10,2922,ONNLH8N0U9MKCRKY,8LVGMVY2-XMTU-GKOA-PE2O-M7I1PI1G176R,MZBK99,"Extremum et ultimum bonorum, quod omnium philosophorum sententia. Pariuntur iniuria. Itaque ne iustitiam quidem recte quis dixerit per se ipsam. Quisquam beatus neque sapientium non beatus. Multoque.",82.22,82.22,8.22,4.11,6.58,4.11,4.11,1,2024-11-12 22:49:58,9386857,EJP4366yb,BB&T Corporation,2024-11-12 22:49:58,2024-11-16 21:13:20,2024-11-20 19:36:42,2024-11-24 18:00:04,Inactive,82.22,1,0HIf03OV6Li7B81HGIL66t3dIW6ByGf0
2024-11-12 08:06:27,1,1015,3983,3983,3983,3983,8515,3,c5785d73-3489-4ff8-bae0-e6b4f4f9a8cb,6,8515,8,2431,BAFW8MLB990L3CPF,TEUCJ53G-T54G-HQ3C-NC23-R2CR3Z4D5Y5N,4BFUOM0F,"Praeclara sunt, fecerint, virtutem iis per se ipsa allicit nec patientia. Ipsa, quam apeirian vocant, tota ab illo est, tum innumerabiles. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore.",57.77,57.77,5.78,2.88,4.62,2.88,2.88,0,2024-11-18 07:27:48,735567,SXM0327yx,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,2024-11-18 07:27:48,2024-11-24 06:49:09,2024-11-30 06:10:30,2024-12-06 05:31:51,Blocked,57.77,0,HUq6YPz4Jx3yD3KC37PSaQK1t47y4t52
2024-11-14 03:15:27,1,5,1019,1019,1019,1019,8979,3,df65984c-6a71-4ade-b476-7dd7b4f81435,6,8979,2,9533,ZZMNL2K5G2Q1QNSA,PXF7X7I1-PMW7-PF4D-KA8K-5X8I9RS8QC4B,27IW2,"Hoc placeat, moderatius tamen id volunt fieri, difficilem quandam temperantiam postulant in eo, quod. Reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Et potione fames sitisque depulsa est, ipsa detractio molestiae consecutionem affert. Ne quod aut sempiternum aut diuturnum timeret malum, quae perspexit in hoc.",61.01,61.01,6.10,3.05,4.88,3.05,3.05,0,2024-11-22 13:53:12,4521687,GTM0199lx,"Nexeo Solutions, Inc.",2024-11-22 13:53:12,2024-12-01 00:30:57,2024-12-09 11:08:42,2024-12-17 21:46:27,Blocked,61.01,0,0fi8FUq9QHM9rV4Iu08R4BS3unt8YpYq
2024-11-15 06:49:05,1,450,19850,19850,19850,19850,9278,1,751e4dac-6f64-431e-985c-00f1379a6f2d,11,9278,12,11462,374WHBLCK6ZZVY9V,LOGLKNRP-959X-Y703-EA1U-9OXTTWX1QWBX,B1YVP6C9P,"Cedentem in philosophia audeam scribere? Quamquam a te ipso. Quam magnos quantaque amoris conspiratione. Putas, quorum utrumque audivi, cum mihi nihil sane praeter. Sic isti curiosi, quos offendit.",106.74,106.74,10.67,5.34,8.54,5.34,5.34,0,2024-11-22 03:54:44,646283593,NQP1438kc,UGI Corporation,2024-11-22 03:54:44,2024-11-29 01:00:23,2024-12-05 22:06:02,2024-12-12 19:11:41,Active,106.74,0,P6vbp8d4a6uA9Ip5rVxtE1Y6F6d149pw
2024-11-16 04:04:53,1,872,18511,18511,18511,18511,9513,2,88a1d581-943f-48d8-bfa0-82eb58b5be59,8,9513,7,12409,G6AFKRVFCIM9Z5H8,IJ8RNXR2-87IJ-TNHU-KNGL-YGL92KMRIGJ0,U2IZB9C,"Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem. Non possim accommodare Torquatos nostros? Quos tu paulo ante collegi, abest plurimum et, cum.",81.57,81.57,8.16,4.08,6.52,4.08,4.08,1,2024-11-19 14:37:59,7292245,ZIU4874yi,"RLJ Entertainment, Inc.",2024-11-19 14:37:59,2024-11-23 01:11:05,2024-11-26 11:44:11,2024-11-29 22:17:17,Depleted,81.57,1,Sx7D58c2UlztV3P96e30Q3FjA3FxJd12
2024-11-19 04:46:22,1,303,10449,10449,10449,10449,10318,3,d47ed3c7-aa55-4c45-8456-6eddc6585e73,12,10318,9,10981,TALUCRSOPS8YCLPQ,D4TS0BS8-LC7C-MXN4-4UI1-CNB4BVN3VN93,CLOT0OS,"Videtur, expediunt. Ut enim aeque doleamus animo, cum.",118.26,118.26,11.82,5.91,9.46,5.91,5.91,1,2024-11-20 02:11:42,224438709,QXD6505xi,Euro Tech Holdings Company Limited,2024-11-20 02:11:42,2024-11-20 23:37:02,2024-11-21 21:02:22,2024-11-22 18:27:42,Cancelled,118.26,1,R96O6Y4V8QAt1h7gg46xw5T6mf9k3fqF
2024-11-20 20:35:35,1,832,14321,14321,14321,14321,10747,2,96a5ced5-2c2d-4c86-8068-3a2075a83911,5,10747,11,14898,L3THW1JUB2BJJKIU,B3LNI0JI-EJ7J-1ZWL-91V9-23SI4W655D5U,G66TIG3,"Transferam, et maxime ab iis, quos ego posse iudicare arbitrarer, plura suscepi veritus ne. Habeat quam dolorum. Nam et ipsa declinatio ad libidinem fingitur -- ait enim declinare atomum.",50.54,50.54,5.06,2.52,4.04,2.52,2.52,1,2024-11-22 11:00:40,1393619,OCJ7603ew,"Insight Enterprises, Inc.",2024-11-22 11:00:40,2024-11-24 01:25:45,2024-11-25 15:50:50,2024-11-27 06:15:55,Pending Activation,50.54,1,LWKAC31Uy72o1F3xPgn5T1d7rJqNZfR7
2024-11-22 10:54:18,1,716,8834,8834,8834,8834,11152,3,872ecf04-b6a1-417c-b029-d471c2df2e41,11,11152,4,11274,GBZD1WBL83PEIBPM,41FUPJ8F-2NA8-NZTV-RP1E-2P7BRC2KGV16,VSMHTNX6G,"Et per se ipsam optabilem, sed quia iucunditatis vel plurimum afferat. Nam. Eum fugiat, quo voluptas nulla pariatur? At vero eos.",114.45,114.45,11.44,5.72,9.16,5.72,5.72,1,2024-11-23 20:05:10,3440662,OBW3589tm,ManpowerGroup,2024-11-23 20:05:10,2024-11-25 05:16:02,2024-11-26 14:26:54,2024-11-27 23:37:46,Cancelled,114.45,1,inM212ro01ydpsiSI6v0ni7qcpZP6FYQ
2024-11-24 15:25:20,1,418,10493,10493,10493,10493,11716,1,b1e3ecbe-5598-47f4-b402-4cd1bcf35829,14,11716,8,9151,H9N1XT665V6G0Z3Z,RVN75B8A-L6QB-3EEY-503Q-4LXSXNQ5J6L4,3IOW0RRJTM,"Et excelsus omni est liber cura et angore, cum et. Videtur de voluptatibus suis cogitavisse? Sed ut. Et a formidinum terrore vindicet et ipsius fortunae modice ferre doceat. Ea nullo modo sine amicitia firmam et perpetuam iucunditatem vitae tenere possumus neque vero ipsam.",140.48,140.48,14.04,7.03,11.24,7.03,7.03,0,2024-12-01 10:36:27,1658089761,XVO7551rd,Navient Corporation,2024-12-01 10:36:27,2024-12-08 05:47:34,2024-12-15 00:58:41,2024-12-21 20:09:48,Suspended,140.48,0,L30fjQK6rjR6WbLw45bSaR1mv85yjCD6
2024-11-26 02:19:51,1,484,11186,11186,11186,11186,12104,3,6453b52c-d812-4a3f-8196-2151ff8f9973,15,12104,1,7339,3ZOM47J2JMJDJGET,4N7BB8BE-U8YG-C6KN-QITL-R1OITM41O9L5,OY4C252,"Tua sic affecta, quem ad modum sit affectus, eum necesse est in voluptate. In varias reprehensiones incurreret. Nam quibusdam, et iis servire, qui vel utrisque litteris uti.",153.10,153.10,15.31,7.66,12.25,7.66,7.66,1,2024-11-29 14:15:44,6201604,NNY1416cp,Pegasystems Inc.,2024-11-29 14:15:44,2024-12-03 02:11:37,2024-12-06 14:07:30,2024-12-10 02:03:23,Active,153.10,1,pPOE08oz4eL1amDa1hLjj9cYKE5u6J8X
2024-11-27 23:13:04,1,543,4527,4527,4527,4527,12596,3,0d1a3512-3d9b-4ee4-bc35-ecdfca6c77f5,11,12596,8,8700,SNJGA3Z9OLNXQ19N,VQLO53E6-WI6I-MXZH-U86F-CW3X7RF44Y9G,M9F,"Illud vel maxime, quod ipsa natura, ut. Censes haec dicturum fuisse? Utrum igitur percurri omnem Epicuri disciplinam placet an.",114.58,114.58,11.46,5.73,9.17,5.73,5.73,1,2024-11-30 03:00:21,6231923111,KFS9354uq,"Entegris, Inc.",2024-11-30 03:00:21,2024-12-02 06:47:38,2024-12-04 10:34:55,2024-12-06 14:22:12,Inactive,114.58,1,LNYPnQO97erqy2xNLe61c2262K5Yb385
2024-11-30 08:33:53,1,15,9856,9856,9856,9856,13197,3,d25251ce-79af-4d51-985e-7d0e549df86f,10,13197,4,13045,BJ9N4R2D3EBBJ5T5,PVF4ROQB-JN3U-TV3H-7EES-KLVRKJ8M32IN,R2VNJ9KLU,"Scriptorem tamen, ut legendus sit. Rudem enim esse censet, quantus videtur, vel paulo aut. Afranius a Menandro solet. Nec vero, ut noster Lucilius, recusabo, quo.",97.81,97.81,9.78,4.89,7.82,4.89,4.89,1,2024-12-02 23:59:45,53524064,YEJ0293lj,Enzymotec Ltd.,2024-12-02 23:59:45,2024-12-05 15:25:37,2024-12-08 06:51:29,2024-12-10 22:17:21,Recharged,97.81,1,ejpJv6rgXohH765C0T4Ap86R8vZ09ml6
2024-12-01 11:20:43,1,723,16063,16063,16063,16063,13488,2,bcb93161-e3e3-430d-9a51-0916434a4d63,11,13488,2,16861,YAUG1LTZHLGSO7PV,5QZ1QNO2-X2PR-I7FW-GPRJ-KL0LBO9OGMC6,ID4EWU9C,"Quibus et ab Epicuro reprehensa et correcta permulta. Nunc dicam de voluptate, a meque.",109.61,109.61,10.96,5.48,8.77,5.48,5.48,1,2024-12-01 14:50:18,4591277,AKK3339ca,PowerShares FTSE International Low Beta Equal Weight Portfolio,2024-12-01 14:50:18,2024-12-01 18:19:53,2024-12-01 21:49:28,2024-12-02 01:19:03,Blocked,109.61,1,YzKi7x2D0t5o439p63lQjAF51tkGSsTk
2024-12-02 14:19:58,1,593,14818,14818,14818,14818,13782,1,01cedef3-d885-4d84-a1e4-20b76fe8b9a5,7,13782,8,19987,3893MXJGYCPNXTYG,W4JBJBYV-1LJ6-CNMF-CIZ2-MA7OTKHU0040,HA9IYJ,"Electram, tamen male conversam Atilii mihi. Consoletur. Ad ea cum accedit. Dolore disputandum putant. Sed ut iis bonis erigimur, quae expectamus, sic laetamur iis. Non fuisse. -- Torquem detraxit hosti. -- Et quidem se.",72.93,72.93,7.30,3.64,5.83,3.64,3.64,0,2024-12-09 10:23:10,48867043,JBU2506jo,Altisource Residential Corporation,2024-12-09 10:23:10,2024-12-16 06:26:22,2024-12-23 02:29:34,2024-12-29 22:32:46,Blocked,72.93,0,KRQ0TNq4033e9HZNyiMfEI0BHD5aO6Uo
2024-12-06 04:21:09,1,856,10631,10631,10631,10631,14703,3,cedcc9d9-c335-4b7b-b1de-4cb07381a7cf,20,14703,10,8261,7YKKNLW48HF7KK44,XPJSR19C-KDOU-MKNV-XDSV-9HOIFCWFIWI6,PVVAR7DZDG,"Voluptas distinguique possit, augeri amplificarique non possit. At. In varias reprehensiones incurreret. Nam quibusdam, et iis servire, qui vel utrisque litteris. Dividendo ac partiendo docet, non. Disserendi, quae logikh dicitur, iste vester plane, ut mihi quidem videtur. Ac fieri potest, ut.",195.95,195.95,19.59,9.81,15.69,9.81,9.81,0,2024-12-13 03:39:23,956669,JFT9044el,Superconductor Technologies Inc.,2024-12-13 03:39:23,2024-12-20 02:57:37,2024-12-27 02:15:51,2025-01-03 01:34:05,Active,195.95,0,IE4XAyiu733tBwW8JZ2SE18T26276kOo
2024-12-07 16:58:00,1,159,13664,13664,13664,13664,15097,2,3cabb7b6-7bc9-4c69-923e-58d78300e4b4,9,15097,11,16757,W10AN4FW4CZPJPTY,III73IHM-82J3-MQ8R-2M13-RE0ZQXZLZOLT,WJ44Q,"Maiores fuissent, et in conspectum suum venire vetuit, numquid tibi videtur de. Non numquam eius modi tempora incidunt, ut labore et dolore magnam aliquam quaerat voluptatem.",87.61,87.61,8.76,4.38,7.01,4.38,4.38,1,2024-12-11 06:22:11,4276237141,RYW1662ig,"Nathan's Famous, Inc.",2024-12-11 06:22:11,2024-12-14 19:46:22,2024-12-18 09:10:33,2024-12-21 22:34:44,Depleted,87.61,1,7w4xpxPGvOeTtrHK0Tf1pJv4oMw1g8jz
2024-12-09 07:40:12,1,780,16069,16069,16069,16069,15511,1,061d707e-3486-4aff-a3aa-e5c051e9b13c,11,15511,11,15833,GCA0MLLZCMO0RR4Q,4LKSTOF1-F6J7-V4JQ-Y43G-34A0Q7B3RX4R,6ON2,"Cillum dolore eu fugiat nulla pariatur. Excepteur. Cum Sophocles vel optime scripserit Electram, tamen male.",109.99,109.99,11.00,5.50,8.80,5.50,5.50,1,2024-12-10 14:44:26,8750804748,XAK0362mx,"ProPhase Labs, Inc.",2024-12-10 14:44:26,2024-12-11 21:48:40,2024-12-13 04:52:54,2024-12-14 11:57:08,Expired,109.99,1,Q18J021QaWZY4EHFlmX8XfBGJ2B5A81G
2024-12-10 11:16:58,1,568,13594,13594,13594,13594,15828,3,e604e1d8-7741-42fd-9473-6fd6c9711667,12,15828,8,3198,ATRB6RPF8H8FL05J,8BKUES9G-F6LF-ST40-GQJ9-D2VJX3KQR78R,KHSBN93,"Turbulentaeque sunt, sic ut plura nemini e nostris, et scribentur. Nec enim habet nostra mens quicquam. Democritea dicit perpauca mutans, sed ita, ut ea, quae voluptaria, delicata, mollis habeatur disciplina. Ultimum esse bonorum eum voluptate vivere. Nec enim.",119.52,119.52,11.95,5.98,9.56,5.98,5.98,0,2024-12-17 20:33:21,81037237,OEE0183qt,Qwest Corporation,2024-12-17 20:33:21,2024-12-25 05:49:44,2025-01-01 15:06:07,2025-01-09 00:22:30,Inactive,119.52,0,Mz1l4R3pFba1yg4n023w3fbU514a6nW2
