activity_ref_key,item_idx,category
2e9cade0-399f-46d8-95ec-ce6eab9e872c,19385,Media Literacy
e3c74ed2-f2c6-471d-b4ab-1b03c01e39d4,12254,Behavioral Therapy
f8f80d53-9c60-47fb-aef8-3c7f66617d68,10393,Venue Rental
6f52ea8b-71a2-45ac-999f-d2c7f7fdf74d,19143,Testing Services
a2776647-eae5-483a-bf03-475e067dc634,14183,Health Services
6cfaa63b-e5b5-40b0-9a67-afe242b567c5,2284,Tech Peripherals
d0013cdc-19b6-4f31-bc6f-97c691ce0db6,19724,Standardized Tests
fced9399-0fcf-4fb4-bffd-18411dcaa8f2,8397,In-Person Tutoring
009fde56-a6db-46ba-a6cd-af52c1abb84c,7990,HVAC
8d56786b-480a-4903-b945-92a7b4613558,18879,Drama Club
a60ab5be-18cc-4f1f-8359-c81cf0d9e610,2747,LMS
99aa072d-9bd3-4e3f-a56e-20b5d1c24a2b,4493,Photography
e2eff3dd-664e-4514-92d2-8398ee270d12,1990,Weighted Blankets
2e82c805-478c-4bda-9e3c-89ee41440c73,14942,Network Hardware
cf9d8cd1-9fc7-46eb-a8e6-5e7fe2e60597,13160,Tech Hardware
cb1af652-9b3c-4f9f-9ca0-850044fff08d,14678,Tech Repair
acd200bd-f601-4237-a090-a1bc5f1d83e7,1932,Life Skills Training
f27f23ed-60ee-43fc-abd5-7327232789f4,11838,Maintenance Supplies
8c696473-1fc7-4818-881c-bca2f0062988,4453,Special Ed Tutoring
451a960c-c585-4820-a890-c587f1514ffe,15559,Core Subject Tutoring
6b9d2654-5204-4f1f-a9f9-7d5ceaa5c14c,382,Fire Extinguishers
2ddb4e0d-a983-4409-bf7b-56706e2a5c05,19200,Student Counseling
b6029358-379b-4866-b69a-bfb7d428408d,5666,Fees
d5bec892-8e6c-4676-8ccc-4251a74988ea,9586,Theater Supplies
c6d485d6-4b83-4203-b891-26f9e7c4558d,4824,Assistive Technology
8a041036-46ae-4c86-bf8f-452550c22a29,19817,Microphones
050d0f83-3671-4ade-9ecc-56f5854d7853,12155,Physics Tutoring
4f95b532-123f-4d29-b817-ea056c618f22,19090,Drawing
233154b1-d84a-412f-8ebf-95890e149d7d,14876,Leasing
1992d5eb-3584-4e35-a39f-914d93e01862,17264,Mandarin
ecc647c8-25a8-470c-916c-2e8a4d3230e5,6657,Engineering
9548eff2-4563-47f2-ad18-956ef97dddea,15491,Management
608c5041-8587-4c5d-94e3-ab3299097998,2019,Textbooks
7433ac3b-6ffe-4f60-b53d-2fcf7977ea45,9718,Mentoring
a972da87-4bdf-4d32-bc30-9614252f97b3,19562,Pottery
6403e248-94a8-4e66-aac9-a47bfedad8b9,3597,Donations
eba0f78d-ca37-48f1-8141-e03a88649ae0,9216,Computers
226b3fc5-d6f0-4911-8b04-7b43883c56ed,13091,Advertising
037853ac-adaa-48ee-b787-8cc144d52ee4,1495,German
d4e57c08-a266-428d-ae7d-9bd372fb13c0,12990,Group Tutoring
1c2e63af-0012-4424-966f-5447343aba6c,632,Art Supplies
8cd3f607-cb25-44d7-b9c0-3c9c29ebdec5,6725,Electricity
813d6e4a-0175-428f-977b-afdebcddea95,4113,Crayons
0b00301e-9977-46cc-986a-b08efe461f6c,19375,Orchestra
1eac441c-9eb0-4523-a384-911800480091,5428,Robotics Kits
d289d169-5fe0-4d8c-954f-be4413a27699,7624,Car Rental
7e0f7825-b553-42c4-b38b-96a738a64474,3611,Building Rental
dfc78140-060e-4acc-8af4-44d0e0ee769b,940,Teacher Wellness
c2bdb3e2-a4fa-46d0-bbc5-4df42b0bf2b9,9529,Audiobooks
039ec4c3-773c-4e5c-b98c-d831f221a16b,5753,Gifts
9938f9a3-86c9-4263-ad05-38be0b26fd13,1529,Braille Services
5d15fb39-fc2a-420d-8fb5-aaf17f7ec0dd,18415,Office Supplies
82a152c8-21a0-4aa2-b1c9-ed2fb242c1f3,3776,Certificates
6df5c264-f477-4b37-9e10-a85579c1d032,17407,Trigonometry
cd796ff7-25a5-4760-99a5-89f46516d7fc,8176,Cables
d3068585-6fe7-4eab-84dd-af899b0cb811,16469,Mindfulness
9806ae5d-ae78-4e04-b197-f032ca2d9ff1,19316,Scanners
a553099d-d719-420f-863d-abcd70b40066,6030,Graphic Design
0b94898c-8392-4df3-80dd-eabb252bd1a9,5758,School Supplies
63b57e7f-fc57-49a6-80af-be6a3c20f04e,14492,USB Drives
7ba45344-1ef1-439d-bf1e-ef06a6c10b40,2773,Coding
abece430-8cbc-4ac9-a278-6ef711b26d92,7050,Craft Supplies
1b931e37-3d85-479d-b415-47172f0c40bd,12112,Physics
06d5747d-92cf-40d3-8bc4-58ef2f708ab1,14910,Annual Subscriptions
151d5e4e-f0c2-4a81-9b0e-ed1dff04502f,2339,Drama Supplies
a50c8061-3e51-44cc-b3f2-7a7e16afaf35,14199,PE Supplies
4df73c51-92ce-4524-96e9-9986301042af,8997,Math Tutoring
47ec8c9e-351b-4682-9f0a-e73c9f840ee5,3121,Science
5cdc98e4-affb-4d47-b4ed-e469b9c2def2,19192,E-Learning Platforms
646b4e5f-2058-46ed-aeb0-1cbdaa1063ff,5614,Government
fb708602-c8ba-416a-a26e-1de883bf1697,14092,Pest Control
f0e83c28-72b5-49cb-a2a8-2789fd636fed,9878,Sports Equipment
299107ab-b715-444b-aaba-631ba9c73136,12739,Academic Coaching
ae4a015f-249a-4d79-8294-c6b9cb1ce593,12080,Instruments
95dfe76e-1ab1-4598-bbfa-51c6e272a42f,1692,Meeting Supplies
95e6c53d-31d5-4568-9344-e94741366cdf,1579,Professional Services
1a3d587a-6efd-4500-a13b-2bf9b1d9576e,8022,Audiology
7ea4a2dc-f58c-4ac3-adc5-36b0fc413be1,387,Pens
043e330b-16b6-4bdf-b00e-d7f93b39c9b0,14540,Sound Equipment
6473f47a-287e-4001-97c5-080b5a118fb1,13237,Fire Safety
3c978d84-e9c7-4031-93a0-d3c333a7bcfd,6353,Projectors
52f2e5e6-6b14-4e4c-b59f-8f3c51898385,3255,Language Tutoring
b8ae02ce-b0fb-4dd9-8629-e904b0c565e8,12560,Recruitment
012c7274-f63c-4206-a698-7ece30494e70,8883,Activity Fees
d14ae038-2169-4a57-b428-09ca6635095e,2545,Snacks
0b733649-c2e3-45b7-9825-c7e566102e61,16928,Sewing
0e76cd21-f32b-473c-aaeb-e77b06bce1f9,15631,Spanish
7dc8ecfa-c958-4f23-8cda-bca4b6cc279c,15089,Travel
d8adb391-a5a5-4f03-a4f4-04073f2cd1c2,802,Markers
11d68690-8baa-4783-803c-52e9cc3fd4aa,13068,Sanitation
93cb1735-9ee1-481e-8e96-3db9072dbb4e,8534,Security
41654637-6f34-41e0-a79b-6febaef00c0f,5790,Consultants
afe337aa-7159-4604-b907-aaa2960dc995,14281,Digital Citizenship
290b02a7-0f29-4350-b85f-989f3a84b8de,19012,Food Carts
3d80078b-041a-44bb-8148-c109b49d76d0,1280,PE Tutoring
06dc2a46-9476-48c0-a2db-f53e50fc1761,3785,Charging Carts
9472826e-60dc-4f70-8164-fb963f85b2b0,15458,Staff Training
d3ed5a79-1435-41ba-ab7f-8ccffbb99ea6,8581,Sign Language
e0ff8494-fc3d-4ddf-a81f-87682b29f80f,14829,Staff Wellness
5a561158-4e33-4be1-8518-7e6c8d021832,14830,Public Transit
1ec75be5-2544-413e-8bb2-cc76ddc61990,12977,Musical Instruments
d4aee2b4-9ca0-4f85-b8e8-f36bed4f1fbf,8685,Trophies
86012a82-9fd8-43d3-ad81-b64ed14b1090,17186,Salaries
819b63bf-e104-4618-b63c-081df891c6b0,5947,Website Fees
da592a95-93dc-41e1-a67e-cd91b8c317d7,11411,First Aid
8b9ec57b-e93b-4b6e-bd92-c1e8e24d39ca,18640,Outdoor Equipment
130c5a9c-addb-4ace-9881-da5d69f76486,14887,Security Cameras
f1f7bb0c-9bdb-4e31-adc9-32b808e84aaa,251,Workbooks
f54b4b95-639d-4b8b-82f0-f5e925edc32d,6651,Consumables
0b17cabf-48a8-4249-91ca-097c3dcf85c8,6253,Parent Engagement
2dd472b6-6b9a-4f46-8412-d3d4ee7e7509,10744,Drug Prevention
5ff54c76-12fa-42ee-bc67-8f7fe5c1d49a,6424,Cosmetology
0569c6f2-6eba-4ca2-9b66-b13132b66354,11535,Field Trips
20019f9c-c222-4d74-9903-e6d9fc860081,13809,Law
1ed8b9b6-405b-4eeb-9ca7-6a376a1e6468,10410,Music
3ad5e357-1d0f-4e99-8056-2afa96c76d1f,8096,After-School Tutoring
6d29eb37-61c9-4ded-9f02-f1c1fd052844,1570,Software Licenses
a0403bc2-73eb-4c23-a9a5-1e5059b7433a,9753,Transportation
f1101b73-19be-4ae4-a89d-1fa99287cc5c,11144,Food Services
533949fa-030a-4154-982f-abb7c41884b9,8325,Productivity Software
9b268651-895e-4349-9da1-4699b9e5bb6c,433,Sensory Tools
85b33681-c326-41c1-8e90-9546ec61b3ec,13588,Indoor Furniture
79374cfc-8a07-4444-88f3-782b331ac74b,1349,Teacher Aides
191739f5-6738-42e3-a967-6fd034822f6e,6115,Carpeting
7699a55e-7cd1-459b-9c08-16f8d5dddc76,2250,Gas
e2db64d9-a984-47af-8d02-c8987c8f4b5b,2514,Vending Machines
80bbf104-94c8-4c5d-a16a-a70b6b3bf79e,9305,Ed Tech
31df815f-c685-487c-8b6c-4d115a8d1edd,13008,Psychology
8189ca4f-f883-4736-bd23-b1bcee9173c6,4481,Breakfast
062637f1-1036-4528-a039-e8d4a34e1773,9437,Sports Equipment
d28470e0-0347-48a2-908f-7f1d6d52dce0,5915,Behavior Intervention
8ba06b4d-98cd-425a-a3d3-c4b2a81df325,3831,Literature
154bdc0f-82a5-46fb-932a-7d40e081eeb4,11456,Suicide Prevention
93bc891b-abd1-4067-b8b8-9396efce0418,17012,Athletics
6a0362ab-f23c-41dd-a6e3-e432aacd277b,17908,Gowns
4662f922-138c-4757-aca6-99dbaa9271e3,69,Headsets
f2af4205-b899-46d7-9dd2-6c0e3a8d5bfc,11784,Calculus
d757a258-9dc7-4469-91cf-b3394e9c7ae7,17934,Philosophy
135a5cf6-7268-4afe-81bb-99b26c0629a0,546,Conflict Resolution
cec5e659-48ab-41c8-8319-9983d6fd5ec3,12518,Audits
16859913-6847-4f3d-a051-d28579ca6ade,10191,Technology
f995f2d9-61e4-41ae-a5cb-2337998e4d51,19934,Online Tutoring
0d79b936-f598-4bde-acd1-6711d66ebdf6,8650,Public Speaking
d868b2c9-a553-4534-bfac-3b4717c7d4cf,7386,Hard Drives
bed6efcd-e13a-4ac3-8b84-c46e1e6cea60,12198,Chess Club
8dffcf51-5f63-4a47-8755-a7b2c964ebea,1478,Japanese
85398897-c9ec-4a61-a1e3-b46e98ed325d,51,Grants
6af3ddec-5b4f-4b36-b7f6-070235007424,5179,iPads
e9fea110-59bf-49be-8762-8f465eb5e9f8,17729,Reading Support
531a4124-cc5c-4ebc-98ab-dcdbc431c53e,19740,Facilities
2a5c250a-9668-445d-b171-4d97cc83501e,14160,Guitar
201870f1-467b-49d5-87a0-2b052c6099a3,11053,Microsoft Office
55bd4ba9-2cf1-4d7c-a0ff-fd491ca5b3e4,17341,Educational Aides
cd532f57-9a5b-4874-b1e6-206ec31383fd,761,Nutrition
0542d914-8451-4529-9fe0-4ef3987627b9,2925,Windows
43eb9dd2-e858-40e0-9ddc-865342ba1dfc,16601,Piano
015a2978-ae0f-4243-a40a-2f62936a16ac,11571,Sociology
4e0d0f3d-f0df-4aaf-9547-34c6286a9950,6630,Competitions
8c12083e-07e4-4da6-9493-6f2bd255e3c4,701,Exam Fees
d76d3732-fde1-4d90-8d3e-5e13cb425b7c,14589,Woodshop
8bad8669-db6d-4ec9-928f-6ccc3bfb2c2e,560,Headphones
28407495-2bc7-4d3b-9767-8d1f7c9e93a4,14702,Paraprofessional Services
982a9079-6929-43bc-9d3b-eb6b9b2d5cfb,16882,Hand Sanitizer
cc3a8f5f-36a2-4ac6-87a7-b2ae79b675d5,16735,Test Kits
4e4dd842-2277-480c-92b5-6938ae547210,7489,Economics
9a8486cc-3cdb-4613-9340-88c41ca57506,12577,Flooring
1aff67de-cfa4-4621-8ade-5284e02cc535,8621,Writing Tutoring
a3cc2f26-2864-42ee-ad70-ae92d5e0c434,16900,Social-Emotional Learning
dff20993-6a4e-4229-bf7f-b936ca8f8895,16997,Plumbing
db06951d-7b54-425e-8bcb-06908662f9b3,447,Lodging
e66c7d4f-b41d-4067-b24b-876f2adfef99,12455,Math Club
22ae7111-d116-4998-8b06-fdc7db1a4811,16514,Cooking
c221af75-a9e3-4322-b959-bed1a3cd70c7,19504,Science Club
c1b78b5a-2699-4d72-8d63-fadf68492a31,11272,Cleaning Services
2ed370c0-9058-471e-990c-43095907f49d,16484,504 Support
2df3bdec-9c76-410a-a18d-b4b2822c1f87,5030,Postage
23fa5cb9-540a-4509-be34-f5546b2e35df,16534,Electrical
7f742098-4a8b-4452-8901-63e8f8aaf37c,13446,Student Government
5032603d-ad0b-455b-8c0f-c2e04d26f3e6,1950,Tournaments
ca624045-80f5-4caa-90df-91839ce66aad,2731,Robotics Club
2529e71a-243c-473e-bab6-c8022439d906,149,Childcare
33fbc66b-52ca-4346-a9ad-e09492fa4957,18179,Fundraising
7bf0f35a-5a3b-45bf-a707-98af8ef1d5f6,1103,Window Repair
5eb5dd8c-6f41-4591-95e1-ddfb008e9ec7,9889,Home Economics
5dcf5394-844c-43d9-9213-0411ac39b4e1,1363,STEM Kits
57055827-d15c-43ee-b6e4-5eb4031193cf,7343,Furniture
28dfca85-c143-4a40-9678-50295294de06,19435,Hotels
852752e1-d06b-4af3-8e3e-a484d2da6bca,13639,Team Uniforms
38b0fb60-87ea-464a-8d7f-e654537e72ca,925,Grammar Tutoring
333d6e8f-5699-488f-b87d-47039919ca39,9522,Construction Paper
da9dbeeb-3397-42f0-9db8-ec7dbea0ff53,17584,European History
07d172af-96fd-4185-8b80-948d5b88f1a2,4105,Subject Tutoring
64ff3346-b19c-46d6-9375-c48d79320858,17174,Data Management
f7d72232-8bd6-4905-9410-14540ff0507f,5938,Teacher Supplies
3f517a1a-8b38-4f3c-b711-bde88c23ad52,674,Lab Fees
2b3914d3-0205-404d-8e7a-c9df8f4e30f8,5696,Apprenticeships
b0a447ab-65cb-430c-a3f3-6e1d5fc49c99,14080,US History
65ef2100-d8d9-49e1-9d25-0c038f3716ec,12839,Desks
1f3ca233-46df-4b3e-919a-9bb51367a524,786,Vehicle Purchase
af0879e4-8f4a-4d14-ba43-252f063523f1,2079,Sensory Items
546dcc98-d499-4dc6-8ae1-8999a3292719,1821,Hand Soap
52934426-c397-4000-b4a6-a64d80300163,16218,Tech Support
70c80ef8-f811-4ce0-a7d8-4e17bfec7d86,16765,Early Childhood Education
94e7d8f8-5267-4e36-8456-7e4caba707ca,13653,Book Club
2f46b55c-3ddf-4989-bae9-fb102d1e21a5,12586,Post-Secondary Fees
26efc732-8245-402f-adae-047aeb9af41f,11079,Music Club
2211b086-236f-4fa5-aaed-b09d3d1aa63c,2399,Math Manipulatives
af513f2a-7f0d-4fe0-9358-3f051dfa8e9f,19963,Online Learning
f52b8144-a17e-40f9-8f16-32e0e6638af5,11473,Technology Fees
346831a2-1379-4d7d-99e8-4f934c6477ea,15075,Math Support
c48f1cfd-0bbc-4bed-aa90-e232714b16b3,13568,Tables
4dfcde03-d8f2-4793-81c2-069e92112fcc,9536,Sheet Music
f2c82f01-11eb-4d72-96a6-6403f0864ad7,11188,ASL Interpretation
7c30fcbc-3b4e-4e10-a93b-a1c4bad76860,1785,College Tuition
13d3f031-5b73-499a-880f-94d18ad46d7b,17448,Library Furniture
750f5c6a-4a85-42cc-b597-60248c6ec26f,4386,Bus Leasing
4e1712b1-3a04-45f8-960a-21bada71a0f2,493,Chromebooks
7a565c31-7825-4304-9f6f-2a6c94b134e7,15847,Nursing
91e38bbd-8134-4e26-ab63-f230405dbb7f,8698,Special Education Services
b33066d8-2e9a-45e1-bae9-7f9422b7a462,12607,Disinfectants
1b07bfa0-2574-489b-9b5e-02abe48841d2,13642,Brushes
14063adc-8fbc-4a9b-9e08-dd9f7a5ce9eb,760,Online Subscriptions
65962f76-e927-47ef-8bb0-56c8a59c613a,17842,Reading Intervention
5be1da41-43ca-440f-aceb-e198c3822a45,11288,School Newspaper
7dd9456d-20cc-48ef-8f45-8eb07e14421c,18476,Fuel
86a568f0-fbb3-4881-a7f2-5b7d0a7a3c68,13612,3D Printers
03e9c78e-d7b6-4f0e-8ffb-02f661bda3c6,19365,AP Exams
4563bd1d-6656-4a4f-ae4f-236f8c6ad6b4,6086,Paper Towels
3a7824ba-e4eb-4820-a932-24ba74efa46f,3631,Literacy Support
1a7882ab-3c8d-415c-88ff-26a8d9646caf,17968,Public School Fees
134bd759-96b7-4b9f-97eb-5bed42a22898,17263,Financial Literacy
d50b526d-b84e-4ceb-b3ea-54619764ed22,19362,Educational Software
807ea2f7-eb82-4d90-8e97-2cf5beccf311,14525,Chemistry Tutoring
1e2f99f2-4803-4c59-8f0e-16c05c955623,14814,English
52c39c2c-f84a-445e-bbd2-6673cc15a337,19018,Bus Passes
9dca30c4-a36e-4e30-8d9e-ea811b9e1c88,2248,Corkboards
04058d94-1ad3-4e85-88a7-ced5ca6254bc,18827,Summer School
52738338-b5d5-4112-a2a9-a9a7bd6ec935,2072,Google Workspace
2be5ca22-6d32-4792-905a-fe6c28d5643a,8880,PPE
57f7cef5-e609-42e6-9dce-3693f95a2fa0,5452,Safety Signage
1b0ef6fc-216a-4d0d-a760-de29a821ae2a,18535,Insurance
88dc6ee0-f730-45db-b1f3-82a5abf9bfa5,10814,Soap
ea77d53a-b227-4769-a65a-f5b0b811036c,12695,Computer Science
5f7043a1-92a5-40b7-a83f-4a54531b22a0,4894,Water Fountains
ba862f6b-17e4-4338-96ed-956664f2b6ec,17470,Therapy
c0b324d6-ea81-41d4-bdec-7422cc099d7f,1037,School Uniforms
5dfc8931-ecca-49dc-9c5d-8987622f7a7d,3377,Servers
5c01006f-3dfd-4af3-a209-f0119b9a4061,15329,Accessibility Support
20889f36-c3a6-43bf-89eb-9ddd4d1ab945,3103,History Support
e0ea1cd9-e957-4316-8897-8ec0e071cf40,14081,Physical Barriers
1511d870-0a63-40a2-a63a-d4340a8a0726,9744,Band
6679a2fc-f4b8-4148-9566-34d1a94a3c89,19570,Webcams
fb9dd2ff-73c4-4e37-b403-707c3114e7a8,3931,Laptops
fd27e240-18d5-48fa-b66e-680eaf20d559,6064,School Events
3f569899-f7d0-4669-ae81-fcde830d916d,7328,Auto Shop
70a7dab5-c8c3-43a2-ab71-715ef9084f3b,9602,Adaptive Equipment
0954d07e-7c6a-4761-8e68-c4e473653a4a,17403,Music Supplies
021bd6d6-b24c-4ac3-8b55-e15a84982ef2,17491,Journalism
a9bf0971-147f-4814-a59b-1a07e700abf7,19970,Printing Services
a4b648d6-4c0c-40aa-bdd9-8ec2fd7c071c,4243,Private School Tuition
90993527-4950-4e3a-894c-cac0c9e40f9f,10590,Testing Fees
7604c10e-a73f-411c-97f9-1e8dbf74a01f,9908,Landscaping
51de8371-7608-4a9f-acab-548e52f978e5,47,Daycare
c4e6c6e2-7517-4471-8302-4d992ee8af6d,5778,Summer Camp
2893ef97-e36a-427f-951a-bced989dc952,6847,Applications
31fb1b8a-af8d-4322-bb45-cc6ef27ee360,7687,Curriculum
60ca6cd4-7dd7-4d7f-a7c6-f41f9cc01314,5106,ACT Prep
d2c712ad-98fc-484a-b038-00dc67d4c776,19678,Meditation
443570c4-7317-4f65-9953-5da6e624826a,9500,History
df7210c5-ab67-4e3d-901d-4208a55cc9b0,12150,School Bus
6162782a-7a55-4bb0-9bd9-2c1be2410f07,883,Coding Supplies
a2178412-f465-4238-be2c-200a782029a2,6007,Summer Programs
b16a247f-1843-4cb5-9c2f-d32c6a0d7463,7392,Biology
beb42c5e-f673-44cb-a406-886252affe2f,2115,Substitute Teachers
809b2ba8-d284-4025-b7a8-3bc75281a751,12151,Apps
1b401c64-0147-4c79-87a9-5abe7166fd7d,15190,Bookshelves
61b65503-ab48-428d-abd7-7b14031aafbe,9403,Art Club
eb6ff901-13f9-4880-b149-75d3d566fc29,4210,Kitchen Equipment
f804258b-d6c1-4b46-8c8a-139fc1387159,19646,Mental Health Services
a21441b5-f1c3-424c-9a03-335a22deea55,13849,Library Science
e6819841-f310-4105-a736-2fe7479267eb,587,Groundskeeping
705d7cbd-6fc4-4c67-a243-d16b2d651227,8110,Teacher Training
5e34cec7-aa29-4202-990b-ee0f4879c841,6120,Video Production
3f907ff9-ce4a-4761-af30-098df1541631,3072,Monthly Subscriptions
e8d807e2-64a3-455e-a8e6-1cc0505792bd,19232,Test Prep
4f26d544-8597-4476-8b3e-53021da4e1b0,12119,Awards
9f51ce59-3d00-4fc9-ad21-10ca0f0f8159,2139,Smoke Detectors
de43c827-7f83-4b62-a7d9-973604608f64,4099,Job Training
