activity_ts,organization_id,user_id_to,activity_type_id,activity_sub_type_id,activity_status_id,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,original_amount,Outcome Amount,Income Amount,Order Count
2025-04-25 21:21:32,379,33,1,33,3,96.61,193.22,9.66,4.83,7.73,14.49,19.32,115.93,96.61,96.61,2
2024-12-26 04:57:15,348,34,1,34,11,64.81,129.61,6.48,3.24,5.18,9.72,12.96,77.77,64.81,64.81,1
2024-11-09 17:16:59,260,35,2,35,5,63.84,127.66,6.39,3.19,5.10,9.58,12.76,76.60,63.84,63.84,1
2024-11-30 05:08:46,307,36,3,36,6,50.30,100.59,5.03,2.51,4.02,7.54,10.05,60.36,50.30,50.30,1
2025-03-14 17:24:31,455,37,1,37,4,84.28,168.55,8.43,4.21,6.74,12.64,16.85,101.13,84.28,84.28,2
2025-05-02 13:21:52,314,38,2,38,7,100.05,200.10,10.00,5.00,8.00,15.01,20.01,120.06,100.05,100.05,2
2025-04-12 05:09:04,162,39,3,39,10,94.86,189.72,9.49,4.74,7.59,14.23,18.97,113.83,94.86,94.86,2
2025-05-02 05:08:56,155,40,2,40,9,99.97,199.93,10.00,5.00,8.00,15.00,19.99,119.96,99.97,99.97,2
2025-03-30 00:00:42,58,41,3,41,3,88.40,176.79,8.84,4.42,7.07,13.26,17.68,106.07,88.40,88.40,2
2024-12-22 18:49:12,319,42,1,42,2,50.54,101.07,5.06,2.52,4.04,7.58,10.10,60.64,50.54,50.54,1
2025-03-03 23:38:55,452,43,3,43,6,89.12,178.23,8.91,4.45,7.13,13.37,17.82,106.94,89.12,89.12,2
2025-08-09 20:03:38,255,44,1,44,1,116.69,233.38,11.67,5.84,9.34,17.50,23.34,140.03,116.69,116.69,2
2024-12-08 04:38:15,21,45,2,45,12,63.20,126.39,6.32,3.16,5.05,9.48,12.64,75.84,63.20,63.20,1
2025-07-21 10:15:13,143,46,3,46,11,113.56,227.13,11.35,5.68,9.09,17.03,22.71,136.27,113.56,113.56,2
2025-06-13 17:17:38,387,47,1,47,8,111.50,223.01,11.15,5.58,8.92,16.73,22.30,133.81,111.50,111.50,2
2025-03-03 05:54:49,93,48,2,48,5,81.77,163.53,8.18,4.09,6.54,12.27,16.35,98.12,81.77,81.77,2
2025-02-11 18:09:53,419,49,2,49,3,94.54,189.09,9.45,4.73,7.56,14.18,18.91,113.45,94.54,94.54,2
2025-04-25 23:02:29,320,50,3,50,2,98.51,197.01,9.85,4.93,7.88,14.78,19.70,118.21,98.51,98.51,2
2025-08-19 07:16:27,200,51,1,51,8,122.24,244.49,12.22,6.11,9.78,18.34,24.45,146.70,122.24,122.24,2
2024-11-20 21:33:13,144,52,1,52,1,40.70,81.39,4.08,2.03,3.25,6.10,8.13,48.84,40.70,40.70,1
2025-01-04 00:33:24,213,53,2,53,6,61.92,123.83,6.20,3.09,4.95,9.29,12.38,74.30,61.92,61.92,1
2025-02-26 16:27:58,37,54,3,54,11,70.32,140.63,7.03,3.51,5.62,10.55,14.06,84.38,70.32,70.32,1
2025-08-31 20:57:21,110,55,3,55,5,116.87,233.75,11.69,5.85,9.35,17.53,23.38,140.25,116.87,116.87,2
2025-07-18 03:47:24,19,56,1,56,7,124.91,249.82,12.49,6.25,10.00,18.74,24.98,149.89,124.91,124.91,3
2025-09-25 03:56:05,278,57,2,57,12,147.70,295.41,14.77,7.39,11.82,22.16,29.55,177.24,147.70,147.70,3
2025-09-28 18:33:03,467,58,3,58,4,132.66,265.33,13.26,6.64,10.62,19.90,26.54,159.20,132.66,132.66,3
2024-12-07 04:45:04,190,59,1,59,10,71.95,143.89,7.20,3.59,5.75,10.79,14.39,86.34,71.95,71.95,1
2025-03-19 16:39:12,33,60,2,60,9,93.67,187.34,9.37,4.68,7.49,14.05,18.73,112.40,93.67,93.67,2
2024-12-13 11:18:45,127,61,2,61,5,64.03,128.04,6.41,3.20,5.12,9.60,12.80,76.83,64.03,64.03,1
2025-04-22 06:54:22,333,62,3,62,7,95.63,191.27,9.56,4.78,7.65,14.35,19.13,114.76,95.63,95.63,2
2025-10-22 02:13:50,206,63,1,63,12,138.64,277.29,13.86,6.94,11.10,20.80,27.73,166.37,138.64,138.64,3
2024-12-05 20:41:30,249,64,1,64,4,69.09,138.16,6.91,3.45,5.52,10.36,13.81,82.90,69.09,69.09,1
2025-03-30 18:27:50,235,65,2,65,10,91.85,183.70,9.19,4.59,7.35,13.78,18.37,110.22,91.85,91.85,2
2025-09-06 02:54:06,392,66,3,66,9,150.15,300.31,15.01,7.51,12.02,22.52,30.04,180.18,150.15,150.15,3
2025-10-24 02:26:09,445,67,3,67,3,187.19,374.41,18.71,9.37,14.98,28.08,37.45,224.64,187.19,187.19,4
2025-07-24 07:57:39,95,68,1,68,2,107.02,214.05,10.70,5.35,8.56,16.05,21.41,128.43,107.02,107.02,2
2024-11-02 07:24:23,456,69,2,69,8,57.22,114.43,5.73,2.86,4.57,8.58,11.44,68.66,57.22,57.22,1
2025-02-25 17:45:55,223,70,3,70,1,85.90,171.80,8.59,4.29,6.87,12.88,17.18,103.08,85.90,85.90,2
2025-04-27 23:11:56,462,71,1,71,6,99.00,198.00,9.90,4.95,7.92,14.85,19.80,118.80,99.00,99.00,2
2025-10-01 07:51:10,299,72,2,72,11,195.71,391.45,19.56,9.80,15.67,29.36,39.15,234.87,195.71,195.71,4
2025-04-16 04:54:20,273,73,2,73,11,93.56,187.12,9.36,4.68,7.48,14.03,18.71,112.27,93.56,93.56,2
2025-06-18 12:04:53,420,74,3,74,5,106.64,213.28,10.66,5.33,8.53,16.00,21.33,127.97,106.64,106.64,2
2025-02-23 06:38:52,86,75,1,75,12,66.01,132.00,6.60,3.30,5.28,9.90,13.20,79.20,66.01,66.01,1
2025-06-27 10:04:37,30,76,3,76,8,110.59,221.19,11.06,5.53,8.85,16.59,22.12,132.71,110.59,110.59,2
2025-09-27 07:25:13,216,77,1,77,6,139.11,278.24,13.91,6.96,11.13,20.87,27.83,166.94,139.11,139.11,3
2025-09-24 06:41:10,105,78,2,78,9,146.61,293.23,14.66,7.34,11.73,21.99,29.33,175.94,146.61,146.61,3
2025-10-21 01:00:56,92,79,1,79,7,142.87,285.76,14.28,7.15,11.43,21.43,28.58,171.45,142.87,142.87,3
2025-05-21 10:27:33,69,80,2,80,1,104.38,208.76,10.44,5.22,8.35,15.66,20.88,125.26,104.38,104.38,2
2025-02-06 08:23:17,383,81,3,81,4,65.83,131.65,6.59,3.29,5.26,9.87,13.16,78.99,65.83,65.83,1
2025-06-06 20:10:53,399,82,2,82,3,111.40,222.81,11.14,5.57,8.91,16.71,22.28,133.69,111.40,111.40,2
2024-12-07 01:06:38,65,83,3,83,10,80.29,160.58,8.03,4.01,6.42,12.04,16.06,96.35,80.29,80.29,2
2025-05-20 15:23:48,251,84,1,84,2,107.22,214.45,10.72,5.36,8.58,16.08,21.45,128.67,107.22,107.22,2
2025-07-20 00:53:54,389,85,2,85,2,115.20,230.41,11.52,5.76,9.22,17.28,23.04,138.24,115.20,115.20,2
2025-04-25 19:22:56,252,86,3,86,9,99.06,198.12,9.91,4.95,7.92,14.86,19.81,118.87,99.06,99.06,2
2025-05-11 14:36:04,116,87,1,87,5,103.16,206.33,10.32,5.16,8.25,15.47,20.63,123.80,103.16,103.16,2
2024-12-12 23:11:04,281,88,2,88,1,69.66,139.31,6.97,3.48,5.57,10.45,13.93,83.59,69.66,69.66,1
2024-12-19 08:41:33,113,89,3,89,6,55.39,110.77,5.54,2.76,4.43,8.31,11.07,66.46,55.39,55.39,1
2025-01-07 18:24:31,439,90,1,90,12,83.17,166.34,8.32,4.16,6.65,12.48,16.63,99.80,83.17,83.17,2
2025-08-25 03:37:31,194,91,2,91,10,128.80,257.62,12.88,6.44,10.31,19.32,25.76,154.57,128.80,128.80,3
2025-02-25 15:13:06,228,92,3,92,11,70.05,140.10,7.01,3.50,5.60,10.51,14.01,84.06,70.05,70.05,1
2024-12-14 11:07:26,403,93,1,93,8,63.60,127.20,6.36,3.18,5.08,9.54,12.72,76.32,63.60,63.60,1
2025-08-11 13:41:26,368,94,3,94,7,125.52,251.05,12.55,6.28,10.04,18.83,25.11,150.63,125.52,125.52,3
2025-05-12 05:13:12,134,95,1,95,3,102.12,204.25,10.21,5.11,8.17,15.32,20.42,122.55,102.12,102.12,2
2025-07-06 08:12:59,167,96,2,96,4,116.94,233.88,11.69,5.85,9.36,17.54,23.39,140.33,116.94,116.94,2
2025-06-25 17:12:25,430,97,1,97,1,121.18,242.36,12.12,6.06,9.70,18.18,24.24,145.42,121.18,121.18,2
2024-12-31 11:49:55,98,98,2,98,7,69.85,139.69,6.99,3.49,5.58,10.48,13.97,83.82,69.85,69.85,1
2025-07-24 17:41:36,61,99,3,99,9,115.52,231.03,11.55,5.78,9.24,17.33,23.10,138.62,115.52,115.52,2
2025-06-24 20:27:07,49,100,2,100,5,110.77,221.55,11.08,5.54,8.86,16.62,22.16,132.93,110.77,110.77,2
2024-12-31 08:28:07,195,101,3,101,3,75.57,151.13,7.56,3.78,6.04,11.34,15.11,90.68,75.57,75.57,2
2025-01-30 01:05:45,177,102,1,102,12,77.05,154.09,7.71,3.85,6.16,11.56,15.41,92.45,77.05,77.05,2
2025-06-11 22:14:19,305,103,1,103,10,107.83,215.67,10.78,5.39,8.63,16.18,21.57,129.40,107.83,107.83,2
2025-09-01 14:45:40,84,104,2,104,2,153.15,306.31,15.31,7.66,12.26,22.97,30.64,183.78,153.15,153.15,3
2024-12-29 06:24:02,370,105,3,105,8,35.23,70.45,3.53,1.75,2.81,5.28,7.04,42.27,35.23,35.23,1
2025-02-03 07:02:59,431,106,1,106,6,76.60,153.19,7.66,3.83,6.13,11.49,15.32,91.91,76.60,76.60,2
2025-01-14 13:53:41,12,107,2,107,4,57.97,115.93,5.80,2.89,4.63,8.70,11.59,69.56,57.97,57.97,1
2025-10-20 08:02:59,298,108,3,108,11,194.53,389.09,19.44,9.74,15.57,29.18,38.92,233.45,194.53,194.53,4
2025-05-21 16:43:14,275,109,3,109,11,103.21,206.42,10.32,5.16,8.26,15.48,20.64,123.85,103.21,103.21,2
2024-11-15 09:02:53,189,110,1,110,1,73.79,147.57,7.38,3.69,5.90,11.07,14.75,88.54,73.79,73.79,1
2025-01-31 02:11:01,238,111,2,111,2,81.35,162.70,8.14,4.07,6.51,12.20,16.27,97.62,81.35,81.35,2
2025-05-05 08:08:57,435,112,2,112,5,100.48,200.96,10.05,5.02,8.04,15.07,20.10,120.58,100.48,100.48,2
2024-12-24 17:43:22,122,113,3,113,7,44.40,88.79,4.45,2.21,3.55,6.66,8.87,53.28,44.40,44.40,1
2025-04-08 20:36:37,437,114,1,114,12,95.26,190.51,9.53,4.76,7.62,14.29,19.05,114.31,95.26,95.26,2
2025-02-05 08:38:13,23,115,2,115,9,62.36,124.71,6.24,3.11,4.98,9.35,12.47,74.83,62.36,62.36,1
2024-11-29 12:53:41,150,116,3,116,8,19.72,39.42,1.98,0.98,1.57,2.96,3.93,23.65,19.72,19.72,0
2025-01-05 23:24:18,40,117,1,117,4,76.07,152.13,7.61,3.80,6.08,11.41,15.21,91.28,76.07,76.07,2
2025-03-27 13:44:32,66,118,1,118,3,91.36,182.72,9.14,4.57,7.31,13.70,18.27,109.63,91.36,91.36,2
2025-05-21 11:27:59,339,119,2,119,6,103.17,206.35,10.32,5.16,8.25,15.48,20.63,123.81,103.17,103.17,2
2025-09-03 21:36:59,323,120,3,120,10,141.27,282.54,14.12,7.07,11.31,21.19,28.26,169.52,141.27,141.27,3
2025-06-24 22:26:00,22,121,2,121,9,122.47,244.95,12.24,6.13,9.80,18.37,24.50,146.97,122.47,122.47,2
2025-09-23 18:13:53,408,122,3,122,7,148.88,297.78,14.88,7.45,11.92,22.33,29.78,178.67,148.88,148.88,3
2025-01-16 09:46:49,302,123,1,123,1,79.82,159.62,7.98,3.99,6.38,11.97,15.96,95.78,79.82,79.82,2
2025-09-10 23:30:14,67,124,2,124,4,130.27,260.55,13.02,6.52,10.42,19.54,26.06,156.33,130.27,130.27,3
2025-02-28 00:14:30,446,125,3,125,3,78.07,156.13,7.81,3.90,6.24,11.71,15.61,93.68,78.07,78.07,2
2024-11-29 03:51:34,133,126,1,126,10,64.14,128.27,6.42,3.20,5.13,9.62,12.82,76.96,64.14,64.14,1
2025-04-12 22:50:39,117,127,1,127,2,96.77,193.54,9.68,4.84,7.74,14.52,19.35,116.12,96.77,96.77,2
2025-05-08 23:48:51,337,128,2,128,11,100.74,201.49,10.07,5.04,8.06,15.11,20.15,120.89,100.74,100.74,2
2025-07-26 11:56:45,276,129,3,129,5,129.45,258.90,12.94,6.48,10.36,19.42,25.89,155.34,129.45,129.45,3
2025-04-26 16:51:32,286,130,2,130,12,98.50,196.99,9.85,4.92,7.88,14.77,19.70,118.20,98.50,98.50,2
2025-09-23 17:41:47,468,131,3,131,8,124.22,248.46,12.42,6.21,9.94,18.63,24.85,149.07,124.22,124.22,2
2025-10-05 06:26:03,152,132,1,132,6,141.41,282.83,14.14,7.07,11.32,21.21,28.29,169.70,141.41,141.41,3
2025-03-15 00:08:02,100,133,1,133,10,86.37,172.74,8.64,4.32,6.91,12.96,17.27,103.65,86.37,86.37,2
2025-06-14 23:31:23,154,134,2,134,12,121.15,242.30,12.11,6.06,9.69,18.17,24.23,145.38,121.15,121.15,2
2025-04-19 22:03:25,112,135,3,135,8,94.96,189.92,9.50,4.75,7.60,14.24,18.99,113.95,94.96,94.96,2
2025-01-29 08:01:18,265,136,3,136,11,65.41,130.82,6.54,3.27,5.23,9.81,13.08,78.49,65.41,65.41,1
2025-01-27 01:57:53,78,137,1,137,3,90.44,180.88,9.05,4.52,7.23,13.57,18.09,108.53,90.44,90.44,2
2025-08-23 00:39:25,107,138,2,138,7,124.05,248.10,12.40,6.20,9.93,18.61,24.81,148.86,124.05,124.05,2
2025-04-24 15:43:39,175,139,3,139,9,97.49,194.98,9.75,4.87,7.80,14.62,19.50,116.99,97.49,97.49,2
2025-09-14 17:03:27,9,140,1,140,5,107.07,214.15,10.71,5.35,8.57,16.06,21.42,128.49,107.07,107.07,2
2025-09-30 07:38:49,360,141,2,141,1,136.03,272.07,13.60,6.81,10.89,20.41,27.21,163.24,136.03,136.03,3
2025-01-12 14:13:36,135,142,1,142,4,78.47,156.94,7.85,3.92,6.28,11.77,15.69,94.16,78.47,78.47,2
2025-01-08 23:10:36,412,143,2,143,6,60.93,121.84,6.10,3.04,4.87,9.14,12.18,73.11,60.93,60.93,1
2025-05-12 10:34:55,71,144,3,144,2,103.48,206.96,10.35,5.17,8.28,15.52,20.70,124.17,103.48,103.48,2
2025-03-19 04:13:00,424,145,2,145,12,90.22,180.44,9.02,4.51,7.22,13.53,18.04,108.26,90.22,90.22,2
2025-05-25 17:11:05,311,146,3,146,8,107.04,214.08,10.70,5.35,8.56,16.06,21.41,128.45,107.04,107.04,2
2025-01-20 10:26:58,234,147,1,147,6,81.78,163.55,8.18,4.09,6.54,12.27,16.35,98.13,81.78,81.78,2
2025-07-02 15:30:10,384,148,1,148,9,114.17,228.34,11.42,5.71,9.13,17.13,22.84,137.00,114.17,114.17,2
2025-02-06 07:38:22,371,149,2,149,7,88.18,176.37,8.82,4.41,7.05,13.23,17.64,105.82,88.18,88.18,2
2025-09-06 23:18:47,169,150,3,150,1,138.67,277.36,13.86,6.94,11.10,20.80,27.74,166.41,138.67,138.67,3
2024-12-11 10:01:26,287,151,1,151,4,90.27,180.54,9.03,4.51,7.22,13.54,18.05,108.33,90.27,90.27,2
2025-06-29 19:08:32,352,152,2,152,3,117.48,234.96,11.75,5.88,9.40,17.62,23.50,140.98,117.48,117.48,2
2025-02-01 13:01:29,421,153,3,153,10,90.41,180.81,9.04,4.52,7.23,13.56,18.08,108.49,90.41,90.41,2
2025-05-27 01:42:15,377,154,1,154,2,108.32,216.65,10.83,5.42,8.67,16.25,21.67,129.99,108.32,108.32,2
2024-12-14 15:48:09,329,155,2,155,11,43.37,86.71,4.34,2.16,3.46,6.50,8.67,52.03,43.37,43.37,1
2025-01-13 11:54:20,126,156,3,156,5,74.54,149.08,7.46,3.72,5.96,11.18,14.91,89.45,74.54,74.54,1
2025-06-01 05:28:27,391,157,1,157,4,116.50,233.01,11.65,5.83,9.32,17.48,23.30,139.80,116.50,116.50,2
2025-04-09 10:40:26,349,158,2,158,12,96.30,192.60,9.63,4.81,7.70,14.45,19.26,115.56,96.30,96.30,2
2024-11-14 19:44:31,364,159,3,159,11,56.46,112.90,5.65,2.82,4.51,8.47,11.29,67.74,56.46,56.46,1
2025-08-22 09:08:38,38,160,3,160,6,134.97,269.96,13.49,6.75,10.80,20.25,27.00,161.97,134.97,134.97,3
2025-10-26 18:18:30,50,161,1,161,9,166.23,332.48,16.62,8.32,13.31,24.94,33.25,199.48,166.23,166.23,3
2025-01-06 05:04:41,327,162,2,162,3,62.94,125.87,6.30,3.14,5.03,9.44,12.58,75.53,62.94,62.94,1
2025-01-12 05:06:10,436,163,2,163,10,79.98,159.95,8.00,4.00,6.40,12.00,15.99,95.97,79.98,79.98,2
2025-07-11 23:55:49,394,164,3,164,1,119.19,238.38,11.92,5.96,9.54,17.88,23.84,143.03,119.19,119.19,2
2025-09-30 10:41:00,288,165,1,165,7,131.25,262.52,13.12,6.57,10.50,19.69,26.25,157.51,131.25,131.25,3
2025-07-22 20:36:33,280,166,2,166,2,130.85,261.71,13.08,6.55,10.47,19.63,26.17,157.03,130.85,130.85,3
2025-09-28 22:54:06,243,167,3,167,8,151.08,302.18,15.10,7.56,12.09,22.66,30.22,181.30,151.08,151.08,3
2024-12-06 12:38:18,313,168,1,168,5,56.05,112.09,5.61,2.80,4.48,8.41,11.20,67.25,56.05,56.05,1
2025-10-15 10:19:46,328,169,2,169,11,152.29,304.60,15.22,7.62,12.19,22.84,30.46,182.76,152.29,152.29,3
2024-11-25 12:52:02,141,170,3,170,1,16.57,33.11,1.66,0.82,1.32,2.48,3.30,19.87,16.57,16.57,0
2025-02-13 12:08:46,474,171,1,171,3,85.28,170.55,8.53,4.26,6.82,12.79,17.05,102.33,85.28,85.28,2
2024-12-24 13:47:59,350,172,1,172,7,51.45,102.88,5.15,2.57,4.11,7.72,10.28,61.73,51.45,51.45,1
2025-09-05 21:50:52,300,173,2,173,5,150.84,301.70,15.08,7.55,12.07,22.63,30.17,181.01,150.84,150.84,3
2025-05-07 16:22:30,451,174,3,174,12,101.86,203.73,10.19,5.09,8.15,15.28,20.37,122.24,101.86,101.86,2
2025-06-02 17:45:54,262,175,2,175,9,105.97,211.94,10.60,5.30,8.48,15.90,21.19,127.17,105.97,105.97,2
2025-08-19 12:54:06,476,176,3,176,4,151.21,302.44,15.12,7.57,12.10,22.68,30.25,181.46,151.21,151.21,3
2025-05-14 08:11:33,353,177,1,177,2,104.91,209.81,10.49,5.25,8.39,15.74,20.98,125.89,104.91,104.91,2
2025-04-03 13:19:27,87,178,1,178,8,98.02,196.05,9.80,4.90,7.84,14.70,19.60,117.63,98.02,98.02,2
2025-10-07 03:10:16,241,179,2,179,6,150.96,301.94,15.09,7.55,12.08,22.64,30.20,181.16,150.96,150.96,3
2025-05-19 10:20:39,450,180,3,180,10,100.67,201.34,10.07,5.03,8.05,15.10,20.13,120.80,100.67,100.67,2
2025-09-09 01:55:44,404,181,1,181,10,102.82,205.63,10.28,5.14,8.23,15.42,20.56,123.38,102.82,102.82,2
2025-05-13 14:36:00,373,182,2,182,2,72.22,144.44,7.22,3.61,5.77,10.83,14.44,86.66,72.22,72.22,1
2025-02-09 16:59:01,310,183,3,183,11,65.33,130.66,6.54,3.26,5.22,9.80,13.06,78.40,65.33,65.33,1
2024-11-25 18:15:43,196,184,3,184,5,108.33,216.67,10.83,5.42,8.67,16.25,21.67,130.00,108.33,108.33,2
2025-05-31 08:03:40,290,185,1,185,12,65.58,131.14,6.56,3.28,5.24,9.84,13.11,78.69,65.58,65.58,1
2024-11-03 23:27:33,354,186,2,186,8,117.26,234.52,11.72,5.86,9.38,17.59,23.45,140.71,117.26,117.26,2
2025-06-10 13:52:15,380,187,1,187,6,141.53,283.07,14.15,7.08,11.33,21.23,28.31,169.84,141.53,141.53,3
2025-08-07 15:34:15,62,188,2,188,9,85.81,171.61,8.58,4.29,6.86,12.87,17.16,102.97,85.81,85.81,2
2025-03-24 11:50:54,118,189,3,189,7,106.64,213.29,10.66,5.33,8.53,16.00,21.33,127.97,106.64,106.64,2
2025-06-28 22:14:43,423,190,3,190,1,35.05,70.08,3.51,1.75,2.80,5.26,7.00,42.05,35.05,35.05,1
2024-12-23 06:02:26,317,191,1,191,4,95.61,191.22,9.56,4.78,7.65,14.34,19.12,114.73,95.61,95.61,2
2025-04-17 08:15:56,11,192,2,192,3,154.25,308.51,15.42,7.72,12.35,23.14,30.86,185.10,154.25,154.25,3
2025-09-30 17:47:50,68,193,1,193,12,161.01,322.03,16.10,8.06,12.89,24.15,32.21,193.22,161.01,161.01,3
2025-09-13 08:26:35,406,194,2,194,11,100.10,200.20,10.01,5.00,8.01,15.01,20.02,120.12,100.10,100.10,2
2025-05-02 16:21:46,473,195,3,195,4,82.92,165.83,8.29,4.14,6.63,12.44,16.58,99.50,82.92,82.92,2
2025-02-04 21:01:25,219,196,2,196,7,98.05,196.11,9.81,4.90,7.84,14.71,19.61,117.66,98.05,98.05,2
2025-04-22 12:48:24,334,197,3,197,9,50.48,100.94,5.05,2.52,4.03,7.57,10.09,60.57,50.48,50.48,1
2024-11-13 13:52:59,361,198,1,198,2,122.18,244.37,12.22,6.11,9.78,18.33,24.44,146.62,122.18,122.18,2
2025-07-10 01:21:02,464,199,3,199,5,122.78,245.56,12.28,6.14,9.82,18.42,24.56,147.34,122.78,122.78,2
2025-07-10 09:48:20,270,200,1,200,10,116.62,233.24,11.66,5.83,9.33,17.49,23.33,139.94,116.62,116.62,2
2025-07-09 22:18:41,147,201,2,201,8,83.02,166.03,8.30,4.15,6.64,12.45,16.60,99.62,83.02,83.02,2
2025-03-26 02:23:17,470,202,2,202,1,116.34,232.68,11.63,5.82,9.31,17.45,23.27,139.61,116.34,116.34,2
2025-10-24 23:44:54,13,203,3,203,3,122.73,245.47,12.27,6.14,9.82,18.41,24.55,147.28,122.73,122.73,2
2025-05-24 03:36:52,94,204,1,204,6,119.50,239.01,11.95,5.98,9.56,17.93,23.90,143.40,119.50,119.50,2
2025-07-11 03:36:09,433,205,3,205,2,88.32,176.64,8.83,4.41,7.06,13.25,17.66,105.98,88.32,88.32,2
2025-07-07 09:26:52,48,206,1,206,5,153.26,306.55,15.32,7.67,12.27,22.99,30.66,183.92,153.26,153.26,3
2025-03-07 15:41:24,214,207,2,207,7,101.20,202.39,10.12,5.06,8.10,15.18,20.24,121.44,101.20,101.20,2
2025-09-10 13:28:25,375,208,1,208,12,146.65,293.32,14.66,7.34,11.74,22.00,29.34,175.99,146.65,146.65,3
2025-05-06 16:36:50,463,209,2,209,9,107.91,215.83,10.79,5.40,8.63,16.19,21.58,129.50,107.91,107.91,2
2025-08-24 01:17:10,226,210,3,210,8,56.69,113.37,5.67,2.83,4.53,8.50,11.33,68.03,56.69,56.69,1
2025-06-23 07:24:08,205,211,3,211,4,85.54,171.08,8.56,4.28,6.84,12.83,17.11,102.65,85.54,85.54,2
2024-12-06 19:17:06,81,212,1,212,3,70.06,140.11,7.01,3.50,5.60,10.51,14.01,84.07,70.06,70.06,1
