activity_ts,organization_id,user_id_to,distribution_id,vendor_id,activity_type_id,activity_sub_type_id,activity_status_id,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,original_amount,Outcome Amount,Income Amount,Order Count
2025-09-25 13:12:44,190,1,4152,1,3,24,6,435.43,4354.27,21.77,43.54,43.54,43.54,43.54,435.43,435.43,435.43,2
2025-01-04 16:35:26,310,1,9098,1,1,12,12,462.54,4625.40,23.13,46.25,46.25,46.25,46.25,462.54,462.54,462.54,2
2025-06-23 13:16:47,304,1,3821,1,3,3,7,735.32,7353.19,36.76,73.54,73.54,73.54,73.54,735.32,735.32,735.32,3
2025-08-20 16:29:08,348,1,2468,1,1,24,1,327.28,3272.86,16.37,32.73,32.73,32.73,32.73,327.28,327.28,327.28,1
2025-10-15 18:39:05,69,1,4275,1,1,28,2,569.95,5699.53,28.50,57.00,57.00,57.00,57.00,569.95,569.95,569.95,2
2025-10-15 03:36:57,436,1,5983,1,3,3,10,558.29,5582.84,27.91,55.83,55.83,55.83,55.83,558.29,558.29,558.29,2
2024-11-12 20:32:52,296,1,17793,1,3,22,7,769.99,7699.89,38.49,77.00,77.00,77.00,77.00,769.99,769.99,769.99,3
2025-07-01 22:17:06,15,1,13352,1,2,17,8,710.24,7102.32,35.51,71.03,71.03,71.03,71.03,710.24,710.24,710.24,3
2025-07-15 04:23:15,4,1,3607,1,3,25,2,194.17,1941.80,9.72,19.41,19.41,19.41,19.41,194.17,194.17,194.17,1
2025-05-27 04:17:00,254,1,13134,1,3,18,12,173.85,1738.51,8.70,17.38,17.38,17.38,17.38,173.85,173.85,173.85,1
2025-08-06 14:34:49,65,1,14397,1,3,11,3,12.96,129.68,0.66,1.29,1.29,1.29,1.29,12.96,12.96,12.96,0
2025-02-16 11:43:13,106,1,11694,1,2,14,9,1065.08,10650.71,53.24,106.52,106.52,106.52,106.52,1065.08,1065.08,1065.08,4
2025-07-07 10:03:28,476,1,14516,1,1,20,7,535.76,5357.56,26.79,53.58,53.58,53.58,53.58,535.76,535.76,535.76,2
2025-08-19 00:38:43,7,1,12757,1,3,21,2,452.86,4528.60,22.64,45.29,45.29,45.29,45.29,452.86,452.86,452.86,2
2024-11-25 02:23:25,443,1,10506,1,2,16,6,325.22,3252.20,16.26,32.52,32.52,32.52,32.52,325.22,325.22,325.22,1
2025-01-03 18:45:14,376,1,7233,1,1,19,12,456.86,4568.56,22.84,45.68,45.68,45.68,45.68,456.86,456.86,456.86,2
2025-02-15 22:35:44,302,1,12662,1,3,18,12,632.66,6326.61,31.63,63.27,63.27,63.27,63.27,632.66,632.66,632.66,3
2024-11-29 13:32:50,6,1,18848,1,1,12,2,505.50,5054.99,25.27,50.55,50.55,50.55,50.55,505.50,505.50,505.50,2
2025-01-29 02:11:48,97,1,3032,1,3,29,4,694.04,6940.35,34.70,69.41,69.41,69.41,69.41,694.04,694.04,694.04,3
2025-04-07 02:58:31,313,1,6493,1,3,10,7,668.83,6688.32,33.44,66.89,66.89,66.89,66.89,668.83,668.83,668.83,3
2024-11-27 15:10:39,231,1,15448,1,2,10,5,209.64,2096.44,10.49,20.96,20.96,20.96,20.96,209.64,209.64,209.64,1
2025-02-03 07:39:20,245,1,12581,1,1,23,4,414.53,4145.28,20.73,41.45,41.45,41.45,41.45,414.53,414.53,414.53,2
2025-07-06 05:15:25,51,1,4058,1,2,10,2,464.65,4646.48,23.23,46.46,46.46,46.46,46.46,464.65,464.65,464.65,2
2025-07-12 12:19:41,310,1,8997,1,1,12,1,433.86,4338.58,21.69,43.38,43.38,43.38,43.38,433.86,433.86,433.86,2
2025-06-29 10:58:51,253,1,6191,1,2,19,5,713.55,7135.51,35.67,71.36,71.36,71.36,71.36,713.55,713.55,713.55,3
2025-08-29 09:17:04,228,1,350,1,1,11,11,594.99,5949.83,29.75,59.50,59.50,59.50,59.50,594.99,594.99,594.99,2
2025-02-18 05:29:28,74,1,271,1,2,15,7,479.28,4792.80,23.96,47.93,47.93,47.93,47.93,479.28,479.28,479.28,2
2025-07-05 08:29:56,124,1,3957,1,3,16,7,762.71,7627.04,38.13,76.28,76.28,76.28,76.28,762.71,762.71,762.71,3
2025-07-31 01:14:02,353,1,14659,1,1,28,10,377.86,3778.61,18.90,37.78,37.78,37.78,37.78,377.86,377.86,377.86,2
2025-05-08 01:29:28,49,1,11608,1,2,4,9,381.46,3814.59,19.08,38.14,38.14,38.14,38.14,381.46,381.46,381.46,2
2025-11-01 15:45:50,319,1,10872,1,2,17,9,506.95,5069.50,25.35,50.70,50.70,50.70,50.70,506.95,506.95,506.95,2
2024-12-07 09:57:52,374,1,12278,1,1,25,5,225.44,2254.43,11.28,22.54,22.54,22.54,22.54,225.44,225.44,225.44,1
2025-07-25 03:22:28,322,1,15000,1,3,23,9,412.10,4120.98,20.61,41.21,41.21,41.21,41.21,412.10,412.10,412.10,2
2024-12-30 06:44:26,331,1,17788,1,3,11,4,528.02,5280.23,26.40,52.80,52.80,52.80,52.80,528.02,528.02,528.02,2
2025-03-08 16:30:44,383,1,12143,1,2,5,1,483.83,4838.29,24.19,48.38,48.38,48.38,48.38,483.83,483.83,483.83,2
2025-04-16 00:53:37,469,1,13882,1,3,12,4,613.74,6137.41,30.68,61.38,61.38,61.38,61.38,613.74,613.74,613.74,2
2025-11-03 15:38:17,246,1,12732,1,2,17,3,723.32,7233.18,36.16,72.34,72.34,72.34,72.34,723.32,723.32,723.32,3
2025-03-31 05:17:36,438,1,13718,1,2,24,3,388.12,3881.20,19.41,38.81,38.81,38.81,38.81,388.12,388.12,388.12,2
2025-09-14 23:44:26,69,1,11215,1,3,29,9,351.23,3512.34,17.56,35.12,35.12,35.12,35.12,351.23,351.23,351.23,1
2025-06-16 16:56:37,300,1,6262,1,3,20,12,689.04,6890.32,34.45,68.91,68.91,68.91,68.91,689.04,689.04,689.04,3
2025-01-06 07:39:45,443,1,1649,1,1,3,5,723.22,7232.16,36.16,72.33,72.33,72.33,72.33,723.22,723.22,723.22,3
2025-09-13 19:19:08,66,1,15168,1,1,18,10,312.17,3121.71,15.61,31.21,31.21,31.21,31.21,312.17,312.17,312.17,1
2025-07-25 06:46:40,321,1,13206,1,3,16,10,195.04,1950.47,9.76,19.50,19.50,19.50,19.50,195.04,195.04,195.04,1
2024-11-17 07:07:37,141,1,18109,1,1,1,4,513.85,5138.54,25.69,51.39,51.39,51.39,51.39,513.85,513.85,513.85,2
2025-03-04 16:22:07,300,1,2574,1,3,27,12,466.63,4666.33,23.33,46.66,46.66,46.66,46.66,466.63,466.63,466.63,2
2025-06-30 19:28:34,425,1,13819,1,2,28,4,603.53,6035.28,30.17,60.35,60.35,60.35,60.35,603.53,603.53,603.53,2
2025-02-05 18:23:29,67,1,4226,1,3,8,4,274.91,2749.15,13.75,27.49,27.49,27.49,27.49,274.91,274.91,274.91,1
2024-12-23 21:52:55,454,1,246,1,1,16,3,415.32,4153.20,20.77,41.53,41.53,41.53,41.53,415.32,415.32,415.32,2
2025-09-08 21:52:02,264,1,14030,1,1,7,3,592.25,5922.46,29.61,59.23,59.23,59.23,59.23,592.25,592.25,592.25,2
2025-02-14 07:05:31,78,1,18172,1,1,27,9,311.78,3117.88,15.59,31.18,31.18,31.18,31.18,311.78,311.78,311.78,1
2024-12-15 16:19:30,248,1,16720,1,1,19,6,504.47,5044.72,25.22,50.45,50.45,50.45,50.45,504.47,504.47,504.47,2
2025-10-09 18:54:38,427,1,10289,1,2,14,12,491.19,4911.88,24.56,49.12,49.12,49.12,49.12,491.19,491.19,491.19,2
2025-03-09 11:56:30,307,1,6719,1,2,20,9,547.70,5476.98,27.38,54.77,54.77,54.77,54.77,547.70,547.70,547.70,2
2024-11-14 22:54:42,401,1,17029,1,3,4,2,562.20,5621.95,28.11,56.22,56.22,56.22,56.22,562.20,562.20,562.20,2
2024-11-27 04:52:35,454,1,15206,1,3,4,11,476.94,4769.43,23.85,47.69,47.69,47.69,47.69,476.94,476.94,476.94,2
2025-08-27 09:48:30,134,1,16420,1,2,13,5,563.96,5639.57,28.20,56.40,56.40,56.40,56.40,563.96,563.96,563.96,2
2025-06-13 00:12:35,428,1,7412,1,1,16,12,207.65,2076.52,10.39,20.76,20.76,20.76,20.76,207.65,207.65,207.65,1
2025-04-30 07:02:10,347,1,12195,1,3,13,2,687.73,6877.26,34.38,68.78,68.78,68.78,68.78,687.73,687.73,687.73,3
2025-05-01 02:45:32,314,1,16028,1,1,11,8,738.36,7383.53,36.91,73.84,73.84,73.84,73.84,738.36,738.36,738.36,3
2025-10-18 01:53:54,235,1,5540,1,1,28,4,509.17,5091.66,25.46,50.92,50.92,50.92,50.92,509.17,509.17,509.17,2
2025-09-02 08:18:05,149,1,12501,1,1,26,10,560.61,5606.13,28.03,56.06,56.06,56.06,56.06,560.61,560.61,560.61,2
2024-11-25 19:34:32,216,1,5605,1,1,23,4,362.91,3629.14,18.15,36.29,36.29,36.29,36.29,362.91,362.91,362.91,1
2025-08-27 20:34:21,277,1,15905,1,1,8,12,854.53,8545.28,42.72,85.46,85.46,85.46,85.46,854.53,854.53,854.53,3
2025-02-20 04:13:42,154,1,13641,1,3,7,6,293.66,2936.59,14.69,29.36,29.36,29.36,29.36,293.66,293.66,293.66,1
2025-02-13 11:05:43,416,1,19836,1,1,11,9,334.45,3344.54,16.73,33.44,33.44,33.44,33.44,334.45,334.45,334.45,1
2025-08-16 18:14:48,276,1,10336,1,2,7,5,481.99,4819.86,24.10,48.20,48.20,48.20,48.20,481.99,481.99,481.99,2
2025-02-24 12:10:12,192,1,19204,1,2,27,6,193.94,1939.45,9.70,19.39,19.39,19.39,19.39,193.94,193.94,193.94,1
2025-07-26 06:58:52,258,1,14247,1,3,28,11,661.44,6614.41,33.07,66.15,66.15,66.15,66.15,661.44,661.44,661.44,3
2025-05-23 09:20:39,153,1,1200,1,3,19,3,579.89,5798.92,28.99,57.99,57.99,57.99,57.99,579.89,579.89,579.89,2
2025-07-29 07:57:04,119,1,120,1,1,20,6,555.02,5550.15,27.75,55.50,55.50,55.50,55.50,555.02,555.02,555.02,2
2025-03-25 03:12:46,47,1,7802,1,2,5,9,270.26,2702.65,13.52,27.02,27.02,27.02,27.02,270.26,270.26,270.26,1
2025-02-28 08:30:44,425,1,14102,1,1,2,3,665.79,6657.85,33.29,66.58,66.58,66.58,66.58,665.79,665.79,665.79,3
2024-12-08 16:31:06,208,1,7738,1,3,3,7,494.21,4942.08,24.71,49.42,49.42,49.42,49.42,494.21,494.21,494.21,2
2025-03-08 18:03:06,221,1,19019,1,3,19,11,313.54,3135.47,15.68,31.35,31.35,31.35,31.35,313.54,313.54,313.54,1
2024-12-01 05:08:58,76,1,10242,1,3,19,7,669.89,6698.86,33.49,66.99,66.99,66.99,66.99,669.89,669.89,669.89,3
2024-11-30 13:15:19,268,1,7350,1,3,19,3,423.72,4237.22,21.19,42.37,42.37,42.37,42.37,423.72,423.72,423.72,2
2025-10-30 17:32:41,307,1,13051,1,2,26,10,622.22,6222.20,31.11,62.22,62.22,62.22,62.22,622.22,622.22,622.22,2
2025-03-02 03:14:18,418,1,15865,1,1,13,4,734.95,7349.42,36.74,73.50,73.50,73.50,73.50,734.95,734.95,734.95,3
2025-04-10 05:10:20,31,1,11352,1,3,9,8,513.42,5134.18,25.67,51.34,51.34,51.34,51.34,513.42,513.42,513.42,2
2025-09-25 17:07:46,422,1,12750,1,1,26,10,549.22,5492.18,27.46,54.92,54.92,54.92,54.92,549.22,549.22,549.22,2
2025-09-20 20:22:51,239,1,8217,1,1,20,3,542.79,5427.88,27.14,54.28,54.28,54.28,54.28,542.79,542.79,542.79,2
2025-10-27 17:30:36,293,1,15672,1,3,23,6,180.88,1808.83,9.05,18.08,18.08,18.08,18.08,180.88,180.88,180.88,1
2025-05-25 09:51:04,280,1,15851,1,2,19,5,708.66,7086.56,35.43,70.87,70.87,70.87,70.87,708.66,708.66,708.66,3
2024-12-16 13:46:11,227,1,19695,1,2,17,10,401.79,4017.89,20.09,40.18,40.18,40.18,40.18,401.79,401.79,401.79,2
2025-04-24 08:15:26,417,1,11676,1,3,25,5,516.62,5166.19,25.83,51.66,51.66,51.66,51.66,516.62,516.62,516.62,2
2025-04-19 01:40:45,235,1,137,1,3,9,7,712.16,7121.59,35.60,71.22,71.22,71.22,71.22,712.16,712.16,712.16,3
2025-08-27 09:57:03,198,1,4698,1,3,3,7,518.64,5186.40,25.93,51.86,51.86,51.86,51.86,518.64,518.64,518.64,2
2025-08-20 02:08:16,145,1,6782,1,3,14,10,596.10,5960.97,29.80,59.61,59.61,59.61,59.61,596.10,596.10,596.10,2
2025-05-19 14:14:52,235,1,8793,1,3,15,1,451.64,4516.43,22.58,45.16,45.16,45.16,45.16,451.64,451.64,451.64,2
2025-01-14 06:53:09,304,1,18681,1,2,19,5,560.76,5607.57,28.04,56.08,56.08,56.08,56.08,560.76,560.76,560.76,2
2025-02-26 06:20:01,200,1,10097,1,2,10,4,684.06,6840.54,34.20,68.41,68.41,68.41,68.41,684.06,684.06,684.06,3
2025-02-27 21:01:49,205,1,12969,1,1,20,8,450.53,4505.29,22.53,45.05,45.05,45.05,45.05,450.53,450.53,450.53,2
2025-02-09 12:05:26,410,1,18913,1,2,8,9,371.26,3712.66,18.57,37.12,37.12,37.12,37.12,371.26,371.26,371.26,1
2025-02-14 12:35:00,445,1,2311,1,2,5,7,386.13,3861.33,19.31,38.61,38.61,38.61,38.61,386.13,386.13,386.13,2
2025-08-14 16:00:35,84,1,4463,1,1,11,3,533.62,5336.18,26.68,53.36,53.36,53.36,53.36,533.62,533.62,533.62,2
2025-10-05 22:05:09,17,1,15889,1,2,25,10,441.79,4417.90,22.09,44.18,44.18,44.18,44.18,441.79,441.79,441.79,2
2025-03-27 17:55:58,143,1,5707,1,2,3,1,260.20,2601.99,13.01,26.02,26.02,26.02,26.02,260.20,260.20,260.20,1
2025-08-16 03:32:07,272,1,10689,1,1,3,10,732.21,7322.03,36.61,73.22,73.22,73.22,73.22,732.21,732.21,732.21,3
2025-01-22 01:26:19,373,1,1096,1,3,6,4,295.07,2950.79,14.76,29.50,29.50,29.50,29.50,295.07,295.07,295.07,1
2025-03-18 11:27:29,15,1,17911,1,2,11,11,815.58,8155.78,40.77,81.56,81.56,81.56,81.56,815.58,815.58,815.58,3
2024-12-10 05:55:40,242,1,13832,1,1,21,11,594.12,5941.14,29.70,59.41,59.41,59.41,59.41,594.12,594.12,594.12,2
2025-05-02 06:56:01,35,1,15557,1,2,24,8,775.69,7756.89,38.78,77.57,77.57,77.57,77.57,775.69,775.69,775.69,3
2025-05-02 16:21:22,166,1,16271,1,3,4,5,500.29,5002.90,25.01,50.03,50.03,50.03,50.03,500.29,500.29,500.29,2
2025-02-11 23:25:25,52,1,18486,1,3,23,8,510.14,5101.38,25.51,51.01,51.01,51.01,51.01,510.14,510.14,510.14,2
2025-10-05 22:57:05,60,1,3418,1,2,17,10,552.97,5529.64,27.65,55.30,55.30,55.30,55.30,552.97,552.97,552.97,2
2025-10-23 08:27:50,462,1,2674,1,2,1,3,249.26,2492.68,12.47,24.92,24.92,24.92,24.92,249.26,249.26,249.26,1
2025-05-14 15:00:08,39,1,4250,1,1,16,4,275.32,2753.21,13.77,27.53,27.53,27.53,27.53,275.32,275.32,275.32,1
2024-11-06 02:21:21,203,1,11981,1,1,18,8,905.24,9052.32,45.25,90.53,90.53,90.53,90.53,905.24,905.24,905.24,4
2025-03-27 19:25:57,335,1,12104,1,3,8,9,734.96,7349.58,36.74,73.50,73.50,73.50,73.50,734.96,734.96,734.96,3
2024-11-15 06:14:40,215,1,7636,1,1,26,11,583.65,5836.49,29.18,58.37,58.37,58.37,58.37,583.65,583.65,583.65,2
2024-12-30 08:48:59,52,1,1109,1,1,11,3,636.99,6369.87,31.85,63.70,63.70,63.70,63.70,636.99,636.99,636.99,3
2025-01-30 15:37:12,81,1,14767,1,2,1,9,733.10,7330.91,36.65,73.31,73.31,73.31,73.31,733.10,733.10,733.10,3
2024-12-16 07:38:14,459,1,15222,1,3,7,6,803.23,8032.23,40.16,80.33,80.33,80.33,80.33,803.23,803.23,803.23,3
2025-09-04 07:02:22,25,1,10670,1,3,5,12,588.78,5887.76,29.44,58.88,58.88,58.88,58.88,588.78,588.78,588.78,2
2025-10-24 10:03:09,63,1,13373,1,3,14,2,552.88,5528.77,27.64,55.29,55.29,55.29,55.29,552.88,552.88,552.88,2
2025-10-29 18:57:03,395,1,15490,1,3,15,6,670.56,6705.57,33.52,67.06,67.06,67.06,67.06,670.56,670.56,670.56,3
2025-01-26 04:43:30,296,1,11890,1,3,11,1,474.94,4749.36,23.75,47.49,47.49,47.49,47.49,474.94,474.94,474.94,2
2025-08-29 14:27:46,188,1,13858,1,3,10,1,504.54,5045.44,25.23,50.45,50.45,50.45,50.45,504.54,504.54,504.54,2
2025-04-15 06:59:46,338,1,13940,1,3,6,7,452.20,4521.97,22.61,45.22,45.22,45.22,45.22,452.20,452.20,452.20,2
2025-02-18 15:25:34,70,1,7155,1,1,16,7,217.22,2172.28,10.87,21.72,21.72,21.72,21.72,217.22,217.22,217.22,1
2024-12-12 20:18:01,446,1,7564,1,2,9,8,195.72,1957.29,9.79,19.57,19.57,19.57,19.57,195.72,195.72,195.72,1
2025-03-26 04:04:05,465,1,652,1,1,7,8,554.77,5547.70,27.74,55.48,55.48,55.48,55.48,554.77,554.77,554.77,2
2025-10-07 12:41:00,152,1,12415,1,3,22,8,493.37,4933.74,24.67,49.34,49.34,49.34,49.34,493.37,493.37,493.37,2
2025-05-04 08:09:34,470,1,6937,1,1,7,10,362.15,3621.50,18.11,36.21,36.21,36.21,36.21,362.15,362.15,362.15,1
2024-11-16 04:23:06,429,1,6969,1,3,7,11,196.92,1969.29,9.85,19.69,19.69,19.69,19.69,196.92,196.92,196.92,1
2025-07-12 09:49:15,389,1,6498,1,1,19,4,624.95,6249.52,31.25,62.50,62.50,62.50,62.50,624.95,624.95,624.95,3
2025-10-26 12:25:15,192,1,18149,1,1,9,2,637.26,6372.55,31.86,63.73,63.73,63.73,63.73,637.26,637.26,637.26,3
2025-06-28 04:00:21,257,1,16768,1,3,17,4,570.22,5702.19,28.51,57.02,57.02,57.02,57.02,570.22,570.22,570.22,2
2025-10-15 03:49:07,261,1,15182,1,1,15,5,492.03,4920.32,24.60,49.20,49.20,49.20,49.20,492.03,492.03,492.03,2
2025-06-10 08:19:17,281,1,18348,1,2,13,1,391.64,3916.45,19.58,39.16,39.16,39.16,39.16,391.64,391.64,391.64,2
2025-11-02 10:45:03,457,1,6492,1,3,6,2,554.76,5547.55,27.74,55.48,55.48,55.48,55.48,554.76,554.76,554.76,2
2025-07-11 21:51:18,84,1,7666,1,2,27,11,311.16,3111.65,15.56,31.11,31.11,31.11,31.11,311.16,311.16,311.16,1
2024-12-11 10:45:24,452,1,16140,1,2,13,2,555.31,5553.12,27.76,55.53,55.53,55.53,55.53,555.31,555.31,555.31,2
2025-06-07 21:40:20,451,1,3789,1,2,12,1,529.14,5291.43,26.46,52.91,52.91,52.91,52.91,529.14,529.14,529.14,2
2025-07-22 03:44:29,164,1,8253,1,3,18,6,660.41,6604.10,33.02,66.04,66.04,66.04,66.04,660.41,660.41,660.41,3
2025-04-12 19:48:52,61,1,2920,1,2,26,5,268.27,2682.77,13.42,26.82,26.82,26.82,26.82,268.27,268.27,268.27,1
2025-04-01 17:53:07,284,1,11894,1,3,21,9,316.35,3163.55,15.82,31.63,31.63,31.63,31.63,316.35,316.35,316.35,1
2025-03-27 01:49:33,476,1,2607,1,3,24,1,534.10,5340.96,26.70,53.41,53.41,53.41,53.41,534.10,534.10,534.10,2
2025-09-04 12:37:55,331,1,2080,1,3,4,11,291.06,2910.61,14.56,29.10,29.10,29.10,29.10,291.06,291.06,291.06,1
2025-07-03 18:29:00,26,1,9707,1,1,8,2,500.38,5003.76,25.02,50.04,50.04,50.04,50.04,500.38,500.38,500.38,2
2025-06-15 10:21:56,195,1,7505,1,1,20,1,408.35,4083.52,20.42,40.83,40.83,40.83,40.83,408.35,408.35,408.35,2
2024-12-15 20:58:47,108,1,16853,1,2,17,10,497.42,4974.18,24.87,49.74,49.74,49.74,49.74,497.42,497.42,497.42,2
2025-08-18 16:41:51,120,1,17991,1,3,9,10,604.20,6041.96,30.21,60.42,60.42,60.42,60.42,604.20,604.20,604.20,2
2025-01-26 10:31:53,347,1,14530,1,3,22,6,417.39,4173.91,20.87,41.74,41.74,41.74,41.74,417.39,417.39,417.39,2
2025-06-16 02:55:42,211,1,2775,1,2,26,2,316.65,3166.51,15.84,31.66,31.66,31.66,31.66,316.65,316.65,316.65,1
2025-10-24 06:35:49,367,1,13432,1,2,11,6,762.98,7629.71,38.14,76.30,76.30,76.30,76.30,762.98,762.98,762.98,3
2025-05-27 02:58:36,183,1,11294,1,2,5,4,508.94,5089.36,25.45,50.89,50.89,50.89,50.89,508.94,508.94,508.94,2
2025-05-31 06:07:36,267,1,11971,1,1,6,12,420.35,4203.55,21.02,42.03,42.03,42.03,42.03,420.35,420.35,420.35,2
2025-07-26 06:01:23,391,1,14200,1,2,3,5,534.45,5344.49,26.72,53.45,53.45,53.45,53.45,534.45,534.45,534.45,2
2025-04-24 13:35:00,60,1,13191,1,2,18,7,370.79,3707.92,18.54,37.08,37.08,37.08,37.08,370.79,370.79,370.79,1
2025-08-20 22:36:58,396,1,18173,1,1,3,12,397.18,3971.82,19.86,39.72,39.72,39.72,39.72,397.18,397.18,397.18,2
2025-10-06 13:02:59,65,1,10781,1,3,20,12,343.08,3430.87,17.16,34.31,34.31,34.31,34.31,343.08,343.08,343.08,1
2025-05-02 08:21:50,476,1,8429,1,1,9,12,216.71,2167.11,10.84,21.67,21.67,21.67,21.67,216.71,216.71,216.71,1
2025-03-24 19:55:38,50,1,17974,1,1,10,10,872.70,8726.90,43.63,87.28,87.28,87.28,87.28,872.70,872.70,872.70,3
2025-07-05 02:34:24,277,1,19646,1,1,27,12,414.84,4148.43,20.74,41.48,41.48,41.48,41.48,414.84,414.84,414.84,2
2025-08-09 16:07:53,278,1,6293,1,2,29,3,556.19,5561.89,27.81,55.62,55.62,55.62,55.62,556.19,556.19,556.19,2
2025-10-19 13:00:55,90,1,2956,1,3,23,5,748.41,7484.06,37.42,74.85,74.85,74.85,74.85,748.41,748.41,748.41,3
2024-11-08 16:53:28,131,1,787,1,1,18,4,375.87,3758.76,18.80,37.59,37.59,37.59,37.59,375.87,375.87,375.87,2
2025-06-04 19:16:28,463,1,856,1,2,4,10,585.45,5854.49,29.27,58.55,58.55,58.55,58.55,585.45,585.45,585.45,2
2025-05-20 01:41:45,422,1,19849,1,3,7,1,532.66,5326.64,26.63,53.27,53.27,53.27,53.27,532.66,532.66,532.66,2
2025-06-26 12:37:23,469,1,10776,1,1,17,11,630.79,6307.91,31.54,63.08,63.08,63.08,63.08,630.79,630.79,630.79,3
2024-12-26 11:04:05,263,1,8669,1,1,2,4,922.68,9226.70,46.12,92.28,92.28,92.28,92.28,922.68,922.68,922.68,4
2025-01-19 09:08:53,431,1,11942,1,1,11,10,657.08,6570.80,32.85,65.71,65.71,65.71,65.71,657.08,657.08,657.08,3
2025-03-04 01:32:34,51,1,6663,1,1,28,2,258.88,2588.87,12.95,25.88,25.88,25.88,25.88,258.88,258.88,258.88,1
2025-01-13 14:35:37,121,1,6248,1,3,4,6,357.93,3579.33,17.90,35.79,35.79,35.79,35.79,357.93,357.93,357.93,1
2025-05-13 09:36:52,80,1,14514,1,1,8,11,100.29,1002.94,5.02,10.02,10.02,10.02,10.02,100.29,100.29,100.29,0
2025-02-03 20:03:37,252,1,9147,1,1,29,7,272.87,2728.72,13.65,27.28,27.28,27.28,27.28,272.87,272.87,272.87,1
